Generation,ChromosomeIndex,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,Fitness_SumOfFitnessScore,Fitness_Defense_Space,Fitness_Defense_GameObject
Weight,-->,1,0,0,0,0,0,0,,,
min[1/ 1/ 1/ 0/ 1],MAX[1/ 1/ 4/ 1/ 1],,,,,,,,,,
0,0,0.6666667,0.2986111,0.25,1,0,0,0,0.4826389,0.375,0.2222222
0,1,0.1111111,0.3368056,0,0,0,0.6666667,0,0.2239583,0.5625,0.1111111
0,2,0.5925926,0.2986111,0.125,1,0.08333334,0,0,0.4456019,0.375,0.2222222
0,3,0.5555556,0.2673611,0.125,1,0.125,0,0,0.4114583,0.3125,0.2222222
0,4,0.4074074,0.4375,0.25,0,0,0,0.1428571,0.4224537,0.875,0
0,5,0.07407407,0.4375,0,0,0.04166667,0,0,0.255787,0.875,0
0,6,0.6296296,0.40625,0.625,0,0,0,0.4285714,0.5179398,0.8125,0
0,7,0.5185185,0.15625,0,1,0,0,0,0.3373843,0.3125,0
0,8,0.3333333,0.4375,0.375,0,0,0,0,0.3854167,0.875,0
0,9,0.1851852,0.5486111,0.125,0,0.125,0,0,0.3668981,0.875,0.2222222
0,10,0.1851852,0.4375,0,0,0.09375,0,0,0.3113426,0.875,0
0,11,0.4444444,0.5486111,0.25,0,0,0,0,0.4965278,0.875,0.2222222
0,12,0.3333333,0.21875,0,1,0,0,0,0.2760417,0.4375,0
0,13,0.2222222,0.4375,0,0,0,0,0,0.3298611,0.875,0
0,14,0.1481481,0.5486111,0,0,0,0,0,0.3483796,0.875,0.2222222
0,15,0.6296296,0.1875,0.25,1,0.1666667,0,0.2857143,0.4085648,0.375,0
0,16,0.1111111,0.4375,0.125,0,0,0,0,0.2743056,0.875,0
0,17,0.5555556,0.5798611,0.25,0,0.1666667,0,0.2380952,0.5677084,0.9375,0.2222222
0,18,0.1481481,0.4375,0,0,0.1666667,0,0,0.2928241,0.875,0
0,19,0.6666667,0.28125,0.5,0,0,0.6666667,0.2857143,0.4739583,0.5625,0
0,20,0.07407407,0.4375,0,0,0,0,0,0.255787,0.875,0
0,21,0.4814815,0.15625,0,1,0,0,0,0.3188657,0.3125,0
0,22,0.7037037,0.2673611,0.25,1,0.08333334,0,0.1428571,0.4855324,0.3125,0.2222222
0,23,0.1481481,0.4618056,0.125,0,0,0,0,0.3049769,0.8125,0.1111111
0,24,0.6666667,0.2861111,0.375,1,0.125,0,0.2380952,0.4763889,0.35,0.2222222
0,25,0.1481481,0.46875,0,0,0,0,0,0.3084491,0.9375,0
0,26,0.3703704,0.5486111,0.125,0,0.1666667,0,0,0.4594907,0.875,0.2222222
0,27,0.4814815,0.21875,0,1,0.08333334,0,0,0.3501157,0.4375,0
0,28,0.3333333,0.40625,0,0,0,0,0,0.3697917,0.8125,0
0,29,0.5925926,0.2986111,0.5,1,0.1458333,0,0.1190476,0.4456019,0.375,0.2222222
0,30,0.07407407,0.4375,0,0,0,0,0,0.255787,0.875,0
0,31,0.6296296,0.4375,0.375,0,0,0,0,0.5335648,0.875,0
0,32,0.6666667,0.46875,0.625,0,0,0,0.04761905,0.5677084,0.9375,0
0,33,0.3333333,0.3298611,0,1,0,0,0,0.3315972,0.4375,0.2222222
0,34,0.4444444,0.5798611,0.25,0,0,0,0,0.5121528,0.9375,0.2222222
0,35,0.4074074,0.4375,0,0,0,0,0,0.4224537,0.875,0
0,36,0.4444444,0.4375,0.25,0,0.125,0,0.0952381,0.4409722,0.875,0
0,37,0.2222222,0.4375,0.125,0,0,0,0,0.3298611,0.875,0
0,38,0.6296296,0.46875,0.125,0,0,0,0,0.5491898,0.9375,0
0,39,0.5185185,0.4375,0.125,0,0.08333334,0,0,0.4780093,0.875,0
0,40,0.6666667,0.46875,0.125,0,0.0625,0,0,0.5677084,0.9375,0
0,41,0.7407407,0.1875,0.25,1,0,0,0,0.4641204,0.375,0
0,42,0.6666667,0.2986111,0.5,1,0,0,0.1190476,0.4826389,0.375,0.2222222
0,43,0.4814815,0.4375,0,0,0,0,0,0.4594907,0.875,0
0,44,0.1111111,0.5173611,0,0,0,0,0,0.3142361,0.8125,0.2222222
0,45,0.3333333,0.4375,0.25,0,0,0,0.07142857,0.3854167,0.875,0
0,46,0.07407407,0.28125,0,0,0,0.6666667,0,0.177662,0.5625,0
0,47,0.5555556,0.3541667,0.5,0,0,0.5,0.1428571,0.4548611,0.7083334,0
0,48,0.3703704,0.2986111,0.25,1,0,0,0,0.3344907,0.375,0.2222222
0,49,0.4814815,0.4548611,0.125,0,0,1,0,0.4681713,0.6875,0.2222222
0,50,0.3703704,0.15625,0,1,0,0,0,0.2633102,0.3125,0
0,51,0.5925926,0.4097222,0.5,1,0,0,0.1666667,0.5011574,0.375,0.4444444
0,52,0.7777778,0.46875,0.75,0,0,0,0.1904762,0.6232639,0.9375,0
0,53,0.6666667,0.2986111,0.125,1,0.1458333,0,0,0.4826389,0.375,0.2222222
0,54,0.6666667,0.3923611,0.375,0,0,0.6666667,0,0.5295139,0.5625,0.2222222
0,55,0.07407407,0.4375,0,0,0,0,0,0.255787,0.875,0
0,56,0.1481481,0.1875,0,1,0,0,0,0.1678241,0.375,0
0,57,0.7777778,0.4375,0.25,0,0,0,0,0.6076389,0.875,0
0,58,0.7037037,0.3923611,0.25,0,0.04166667,0.6666667,0,0.5480324,0.5625,0.2222222
0,59,0.1111111,0.40625,0,0,0,0,0,0.2586806,0.8125,0
0,60,0.5925926,0.4375,0.25,0,0,0,0,0.5150463,0.875,0
0,61,0.1851852,0.3541667,0,0,0,0.5,0,0.2696759,0.7083334,0
0,62,0.5925926,0.4375,0.125,0,0.08333334,0,0,0.5150463,0.875,0
0,63,0.5555556,0.40625,0.5,0,0,0,0,0.4809028,0.8125,0
0,64,0.4074074,0.21875,0,1,0.0625,0,0,0.3130787,0.4375,0
0,65,0.5185185,0.2986111,0.25,1,0.08333334,0,0.04761905,0.4085648,0.375,0.2222222
0,66,0.1111111,0.46875,0,0,0,0,0,0.2899306,0.9375,0
0,67,0.4074074,0.2673611,0.125,1,0,0,0.0952381,0.3373843,0.3125,0.2222222
0,68,0.6666667,0.2986111,0.25,1,0.125,0,0,0.4826389,0.375,0.2222222
0,69,0.2962963,0.225,0,1,0,0,0,0.2606481,0.45,0
0,70,0.6296296,0.2673611,0.125,1,0,0,0,0.4484954,0.3125,0.2222222
0,71,0.07407407,0.4375,0,0,0,0,0,0.255787,0.875,0
0,72,0.5925926,0.34375,0.25,0,0,0.3333333,0,0.4681713,0.6875,0
0,73,0.5185185,0.40625,0.25,0,0,0,0.1904762,0.4623843,0.8125,0
0,74,0.07407407,0.375,0,0,0,0,0,0.224537,0.75,0
0,75,0.5185185,0.5173611,0.125,0,0.125,0,0.1428571,0.5179398,0.8125,0.2222222
0,76,0.1481481,0.3993056,0.25,0,0,1,0,0.2737269,0.6875,0.1111111
0,77,0.1851852,0.3541667,0.375,1,0,0,0,0.2696759,0.375,0.3333333
0,78,0.4074074,0.5173611,0,0,0,0,0,0.4623843,0.8125,0.2222222
0,79,0.5925926,0.5486111,0.125,0,0.08333334,0,0,0.5706018,0.875,0.2222222
0,80,0.5555556,0.21875,0.125,1,0,0,0,0.3871528,0.4375,0
0,81,0.6666667,0.4097222,0.25,1,0,0,0,0.5381944,0.375,0.4444444
0,82,0.5185185,0.3541667,0.125,0,0,0.5,0,0.4363426,0.7083334,0
0,83,0.4444444,0.7395834,0,0,0,0,0,0.5920139,0.8125,0.6666667
0,84,0.6296296,0.5798611,0.375,0,0,0,0.1428571,0.6047454,0.9375,0.2222222
0,85,0.2222222,0.4375,0,0,0,0,0,0.3298611,0.875,0
0,86,0.2962963,0.7395834,0,0,0,0,0,0.5179398,0.8125,0.6666667
0,87,0.07407407,0.4861111,0,0,0.125,0,0,0.2800926,0.75,0.2222222
0,88,0.5555556,0.4527778,0.625,1,0.08333334,0,0.02380952,0.5041667,0.35,0.5555556
0,89,0.1481481,0.1875,0,1,0,0,0,0.1678241,0.375,0
0,90,0.5555556,0.2986111,0.125,1,0,0,0,0.4270833,0.375,0.2222222
0,91,0.5185185,0.3541667,0.125,0,0,0.5,0,0.4363426,0.7083334,0
0,92,0.5925926,0.4375,0.25,0,0.125,0,0,0.5150463,0.875,0
0,93,0.5555556,0.3416667,0.125,1,0.2291667,0,0,0.4486111,0.35,0.3333333
0,94,0.5925926,0.3923611,0.25,0,0,0.6666667,0,0.4924769,0.5625,0.2222222
0,95,0.1481481,0.4618056,0.125,0,0,0,0,0.3049769,0.8125,0.1111111
0,96,0.5555556,0.1875,0.375,1,0,0,0,0.3715278,0.375,0
0,97,0.07407407,0.5486111,0,0,0.04166667,0,0,0.3113426,0.875,0.2222222
0,98,0.1481481,0.4375,0.125,0,0,0,0,0.2928241,0.875,0
0,99,0.6296296,0.1875,0.25,1,0,0,0,0.4085648,0.375,0
1,0,0.6666667,0.2986111,0.375,1,0,0,0.04761905,0.4826389,0.375,0.2222222
1,1,0.6666667,0.2986111,0.375,1,0,0,0.04761905,0.4826389,0.375,0.2222222
1,2,0.6666667,0.2986111,0.375,1,0,0,0,0.4826389,0.375,0.2222222
1,3,0.7777778,0.1875,0.75,1,0,0,0.1904762,0.4826389,0.375,0
1,4,0.6666667,0.2986111,0.375,1,0,0,0,0.4826389,0.375,0.2222222
1,5,0.6666667,0.2986111,0.125,1,0.2708333,0,0,0.4826389,0.375,0.2222222
1,6,0.6666667,0.2986111,0.25,1,0,0,0,0.4826389,0.375,0.2222222
1,7,0.6666667,0.2986111,0.5,1,0,0,0.1190476,0.4826389,0.375,0.2222222
1,8,0.6666667,0.2986111,0.125,1,0.1458333,0,0,0.4826389,0.375,0.2222222
1,9,0.6666667,0.2986111,0.25,1,0.125,0,0,0.4826389,0.375,0.2222222
1,10,0.7037037,0.2673611,0.25,1,0.08333334,0,0.1428571,0.4855324,0.3125,0.2222222
1,11,0.4074074,0.5729167,0,0,0,0,0,0.490162,0.8125,0.3333333
1,12,0.6296296,0.3541667,0.25,0,0.1666667,0.5,0,0.4918981,0.7083334,0
1,13,0.5925926,0.3923611,0.125,0,0.08333334,0.6666667,0,0.4924769,0.5625,0.2222222
1,14,0.5925926,0.3923611,0.25,0,0,0.6666667,0,0.4924769,0.5625,0.2222222
1,15,0.5925926,0.3993056,0,0,0,0.3333333,0,0.4959491,0.6875,0.1111111
1,16,0.5555556,0.4375,0.25,0,0.125,0,0,0.4965278,0.875,0
1,17,0.4444444,0.5486111,0.25,0,0,0,0,0.4965278,0.875,0.2222222
1,18,0.4444444,0.5486111,0.5,0,0,0,0,0.4965278,0.875,0.2222222
1,19,0.4444444,0.5486111,0.5,0,0,0,0,0.4965278,0.875,0.2222222
1,20,0.4444444,0.5486111,0.25,0,0,0,0,0.4965278,0.875,0.2222222
1,21,0.7037037,0.2986111,0.125,1,0.1458333,0,0,0.5011574,0.375,0.2222222
1,22,0.5925926,0.4097222,0.5,1,0,0,0.1666667,0.5011574,0.375,0.4444444
1,23,0.6666667,0.3368056,0.5,0,0,0.6666667,0.2857143,0.5017361,0.5625,0.1111111
1,24,0.5555556,0.4527778,0.25,1,0.2291667,0,0.1904762,0.5041667,0.35,0.5555556
1,25,0.5555556,0.4527778,0.625,1,0.08333334,0,0.02380952,0.5041667,0.35,0.5555556
