Generation,ChromosomeIndex,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,Fitness_SumOfFitnessScore
Weight,-->,0,1,1,
Tactic_Bait,Tactic_Ambush,Tactic_TwoProngedAttack,Tactic_Defense,Tactic_Clash,
False * 1,False * 1,False * 1,True * 1,False * 1,
0,0,0.137931,0.3793103,0.05,0.1431035
0,1,0.1818182,0.2121212,0.4166667,0.209596
0,2,0.2666667,0.2666667,0.1,0.1222222
0,3,0.5384616,0.1538462,0.3076923,0.1538462
0,4,0.32,0.08,0.8888889,0.322963
0,5,0.1481481,0.1481481,0.09090909,0.07968575
0,6,0.375,0.0625,0.3333333,0.1319444
0,7,0.3333333,0.2333333,0.5555556,0.262963
0,8,0,0.48,0.05555556,0.1785185
0,9,0.5641026,0.1794872,0.3333333,0.1709402
0,10,0,0.3225806,0.03846154,0.1203474
0,11,0.1818182,0.2727273,0.2608696,0.1778656
0,12,0.1621622,0.3513514,0.68,0.3437838
0,13,0.3870968,0.1935484,0.368421,0.1873231
0,14,0.2758621,0.2413793,0.3157895,0.1857229
0,15,0.25,0.21875,0.2380952,0.1522817
0,16,0.1935484,0.1935484,0.173913,0.1224871
0,17,0.4864865,0.1081081,0.6666667,0.2582583
0,18,0.2142857,0.2142857,0.1,0.1047619
0,19,0.4444444,0.05555556,0.09090909,0.04882155
0,20,0.1875,0.1875,0.2173913,0.1349638
0,21,0.1176471,0.1764706,0.3928571,0.1897759
0,22,0.5405405,0.08108108,0.1052632,0.06211475
0,23,0.4102564,0.2564103,0.2105263,0.1556455
0,24,0.3225806,0.1612903,0.4,0.1870968
0,25,0.3030303,0.1818182,0.8181818,0.3333333
0,26,0.5,0.05,0.8260869,0.292029
0,27,0.3448276,0.06896552,0.55,0.2063218
0,28,0.1935484,0.2580645,0.4090909,0.2223851
0,29,0.4666667,0.2,0.25,0.15
0,30,0.4615385,0.2051282,0.5,0.2350427
0,31,0.3030303,0.1515152,0.3636364,0.1717172
0,32,0.2285714,0.2285714,0.3478261,0.1921325
0,33,0.3333333,0.06666667,0.6666667,0.2444445
0,34,0.5,0.2142857,0.5,0.2380952
0,35,0.1538462,0.3076923,0.1052632,0.1376518
0,36,0.1935484,0,0.2692308,0.08974359
0,37,0.1176471,0.2352941,0.1851852,0.1401598
0,38,0.3589744,0.1025641,0.48,0.194188
0,39,0.2666667,0.1666667,0.4285714,0.1984127
0,40,0.1818182,0.1818182,0.5416667,0.2411616
0,41,0.3076923,0.2692308,0.625,0.2980769
0,42,0.1935484,0.2580645,0.4545455,0.2375367
0,43,0,0.2413793,0.88,0.3737931
0,44,0.2758621,0.1724138,0.6,0.2574713
0,45,0.2777778,0.1666667,0.68,0.2822222
0,46,0.1212121,0.2424242,0.7916667,0.344697
0,47,0.5128205,0.1282051,0.3,0.142735
