Generation,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,SumOfSpaceFitnessScore,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,SumOfGameObjectFitnessScore,Fitness_Defense_Space,Fitness_Defense_GameObject
0.0,0.27811568,0.1676546025,0.3907246432,0.1302415496,0.2225,0.371130954,0.08375,0.19,0.0473244048,0.082833334,0.0087554035,0.296815479,0.662261907,0.079999993
1.0,0.316375385,0.1132721382,0.813809358,0.271269779,0.29775,0.469736116,0.14625,0.03,0.0530714284,0.056,0.0115170528,0.383743064,0.78058334,0.158888879
2.0,0.313418605,0.0870310676,0.924536746,0.308178919,0.30175,0.519874999,0.0975,0.01,0.0610297621,0.027,0.003431955,0.410812512,0.819750002,0.219999983
3.0,0.270778577,0.0992611015,0.95340376,0.317801257,0.3155,0.564826383,0.13125,0.0,0.0747976192,0.012,0.0034319555,0.440163211,0.851875002,0.277777757
4.0,0.263646539,0.1063085237,0.964571673,0.321523891,0.3385,0.579548605,0.105,0.0,0.0839107149,0.004,0.0049591493,0.459024296,0.850208334,0.308888865
5.0,0.253553702,0.125453866,0.971044621,0.323681543,0.3515,0.597222221,0.06625,0.0,0.0782559529,0.004,0.0028162921,0.474361132,0.833333334,0.36111109
6.0,0.239522844,0.1080551991,0.98916091,0.32972029,0.3385,0.643576397,0.06375,0.0,0.0587886903,0.012,0.008646121,0.491038194,0.779375002,0.507777759
7.0,0.287241163,0.1026509905,1.0,0.3333333,0.33975,0.678819468,0.06875,0.0,0.0606845242,0.004,0.0081460006,0.509284731,0.782083334,0.575555555
8.0,0.282622424,0.101658865,1.0,0.3333333,0.352,0.687395854,0.0575,0.0,0.036642858,0.004,0.0111087732,0.519697923,0.791458334,0.583333333
9.0,0.267067334,0.096302592,1.0,0.3333333,0.3495,0.71166671,0.04375,0.0,0.0392976202,0.0,0.017537343,0.530583346,0.77,0.653333356
10.0,0.247583446,0.0995753838,1.0,0.3333333,0.34975,0.719791727,0.05375,0.0,0.0408214291,0.0,0.0225951138,0.534770859,0.76625,0.673333366
11.0,0.230960834,0.096285708,1.0,0.3333333,0.35025,0.73354172,0.04375,0.0,0.031375001,0.0,0.0194590268,0.541895851,0.78375,0.683333365
12.0,0.231592556,0.0988367834,1.0,0.3333333,0.35,0.750347264,0.04625,0.0,0.0276547625,0.0,0.0182277013,0.550173618,0.79625,0.704444474
13.0,0.226855612,0.1016251862,1.0,0.3333333,0.35025,0.773194486,0.055,0.0,0.0320178568,0.0,0.0165371077,0.561722225,0.8275,0.718888917
14.0,0.225564906,0.099565662,1.0,0.3333333,0.36175,0.778194481,0.04,0.0,0.0171369056,0.0,0.0082516315,0.569972224,0.8275,0.728888916
15.0,0.218478502,0.0852534506,1.0,0.3333333,0.368,0.783263937,0.04375,0.0,0.0170714294,0.0,0.0052958668,0.575631965,0.85875,0.707777807
16.0,0.212996168,0.0899861696,1.0,0.3333333,0.36475,0.789930592,0.05375,0.0,0.0162797626,0.0,0.0058706796,0.577340291,0.84875,0.731111138
17.0,0.20503457,0.0836474626,1.0,0.3333333,0.35875,0.803888898,0.05375,0.0,0.018863096,0.0,0.0034897276,0.581319442,0.82,0.787777799
18.0,0.20523388,0.0776639746,1.0,0.3333333,0.35325,0.81951387,0.0625,0.0,0.0194047627,0.0,0.0022992516,0.586381928,0.79125,0.847777793
19.0,0.211524204,0.0733252676,1.0,0.3333333,0.354,0.826180515,0.0575,0.0,0.0117500003,0.0,0.0,0.590090256,0.76125,0.891111122
20.0,0.216846784,0.0769542998,1.0,0.3333333,0.35625,0.831666627,0.0575,0.0,0.0143333336,0.0,0.0,0.593958312,0.77,0.893333344
21.0,0.225354848,0.0831666646,1.0,0.3333333,0.359,0.840902739,0.07,0.0,0.0110833335,0.0,0.0,0.599951368,0.78625,0.895555566
22.0,0.223241944,0.0885860174,1.0,0.3333333,0.3615,0.850208295,0.06,0.0,0.0062500001,0.0,0.0,0.605854146,0.80375,0.896666677
23.0,0.226080656,0.0796182776,1.0,0.3333333,0.3565,0.860763851,0.0475,0.0,0.0072083335,0.0,0.0,0.608631924,0.82375,0.897777788
24.0,0.231024204,0.0804543004,1.0,0.3333333,0.35225,0.881111072,0.0275,0.0,0.0057797625,0.0,0.0,0.616680536,0.86,0.902222232
25.0,0.227959688,0.079244623,1.0,0.3333333,0.36525,0.881388848,0.03,0.0,0.0044642871,0.0,0.0,0.623319424,0.865,0.897777788
26.0,0.228790332,0.082043008,1.0,0.3333333,0.37425,0.881388848,0.0525,0.0,0.0058809538,0.0,0.0,0.627819424,0.865,0.897777788
27.0,0.230241944,0.0856720402,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
28.0,0.228766136,0.0908037592,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
29.0,0.214354844,0.0898924668,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
30.0,0.21316936,0.0941424648,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
31.0,0.212435488,0.096354831,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
32.0,0.211717748,0.0884704252,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
33.0,0.210016136,0.083424727,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
34.0,0.209814524,0.0810456948,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
35.0,0.218427428,0.0795026854,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
36.0,0.22355646,0.0858790288,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
37.0,0.23298388,0.0882526854,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
38.0,0.243451624,0.0843709664,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
39.0,0.244129044,0.0817849456,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
40.0,0.247806464,0.0807419342,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
41.0,0.249354852,0.076612904,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
42.0,0.241129044,0.0802419362,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
43.0,0.240645172,0.0838709684,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
44.0,0.22983872,0.082661291,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
45.0,0.237419364,0.088709678,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
46.0,0.239354848,0.088709678,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
47.0,0.226612912,0.0875000006,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
48.0,0.226935492,0.0899193554,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
49.0,0.228387104,0.0935483876,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
50.0,0.233387104,0.094758065,1.0,0.3333333,0.375,0.8819444,0.0675,0.0,0.0058809538,0.0,0.0,0.6284722,0.875,0.8888889
