Generation,Fitness_Defense,Fitness_Defense_Space,Fitness_Defense_GameObject
0,0.377021034,0.629042066,0.12499999
1,0.471263096,0.72219286,0.22033332
2,0.536200594,0.762067858,0.310333317
3,0.585814483,0.782851192,0.388777761
4,0.615837701,0.801230952,0.430444431
5,0.658750704,0.7876125,0.529888884
6,0.684784737,0.785791667,0.583777782
7,0.715920158,0.788395833,0.643444456
8,0.742520851,0.792375,0.692666682
9,0.769649328,0.789520833,0.749777798
10,0.781406265,0.786145833,0.776666686
11,0.793913203,0.797604166,0.790222238
12,0.806572918,0.805812499,0.807333345
13,0.823486105,0.808416667,0.838555567
14,0.838715269,0.804541666,0.872888902
15,0.842190966,0.808604166,0.87577779
16,0.845788186,0.8116875,0.879888901
17,0.852055544,0.81,0.894111122
18,0.856305542,0.806833333,0.905777787
19,0.859982625,0.806520833,0.913444453
20,0.864128461,0.8088125,0.919444453
21,0.867670131,0.8085625,0.926777785
22,0.872034718,0.809625001,0.934444451
23,0.874614581,0.811229168,0.938000006
24,0.876354167,0.813041669,0.939666673
25,0.875618058,0.813125004,0.938111117
26,0.878666666,0.817666669,0.939666673
27,0.881034718,0.822625,0.939444451
28,0.881170135,0.8225625,0.939777784
29,0.881475691,0.822395834,0.940555562
30,0.88186458,0.822395834,0.941333339
31,0.882447914,0.822229167,0.942666672
32,0.882944442,0.822666667,0.943222228
33,0.88322222,0.822333334,0.944111117
34,0.883593749,0.822520834,0.944666672
35,0.883868054,0.822291667,0.94544445
36,0.884034721,0.822291667,0.945777783
37,0.88471875,0.822104167,0.947333339
38,0.885225695,0.821895834,0.948555561
39,0.885621528,0.822020834,0.949222227
40,0.88598264,0.821854168,0.950111116
41,0.886434029,0.821979168,0.950888894
42,0.886645836,0.821958334,0.951333338
43,0.887038197,0.822520834,0.95155556
44,0.887277781,0.822333334,0.952222227
45,0.887440975,0.821770834,0.953111116
46,0.88766667,0.821333334,0.954000005
47,0.888069447,0.820583334,0.95555556
48,0.888100697,0.820645834,0.95555556
49,0.888100697,0.820645834,0.95555556
50,0.888194447,0.820833334,0.95555556
