Generation,ChromosomeIndex,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,Fitness_SumOfFitnessScore
Weight,-->,1,0,0,0,0,0,0,
MAX[1/ 1/ 1/ 0/ 0],min[1/ 1/ 4/ 1/ 0],,,,,,,,
0,0,0.04761905,0,0,0,0.07291667,0,0,-0.008432541
0,1,0.2857143,0,0.25,0,0.1535714,0,0.0812908,-0.03928571
0,2,0.452381,0,0,0,0,0,0,0.1507937
0,3,0.07142857,0,0,0,0,0,0,0.02380952
0,4,0.3333333,0,0,0,0.15625,0,0,0.05902778
0,5,0.2619048,0,0,0,0,0,0,0.08730159
0,6,0.1190476,0,0,0,0,0,0,0.03968254
0,7,0.04761905,0,0,0,0.07142857,0,0,-0.007936508
0,8,0.3809524,0,0,0,0.075,0,0,0.1019841
0,9,0.3095238,0,0.125,0,0,0,0,0.06150794
0,10,0.0952381,0,0,0,0,0,0,0.03174603
0,11,0.3095238,0,0.375,0,0.25,0,0,-0.1051587
0,12,0.4047619,0,0,0,0,0,0,0.1349206
0,13,0.2619048,0,0.125,0,0,0,0,0.04563493
0,14,0.1904762,0,0,0,0,0,0,0.06349207
0,15,0.3095238,0,0.125,0,0,0,0,0.06150794
0,16,0.4285714,0,0.375,0,0.10625,0,0,-0.01755952
0,17,0.1428571,0,0,0,0,0,0,0.04761905
0,18,0.2619048,0,0.125,0,0,0,0,0.04563493
0,19,0.1190476,0,0,0,0.03125,0,0,0.02926587
0,20,0.2857143,0,0,0,0.125,0,0,0.05357143
0,21,0.4285714,0,0.125,0,0.0625,0,0.1190476,0.08035714
0,22,0.2619048,0,0,0,0,0,0,0.08730159
0,23,0.1666667,0,0,0,0,0,0,0.05555556
0,24,0.1428571,0,0,0,0.04166667,0,0,0.03373016
0,25,0.5238096,0,0.375,0,0.103125,0,0.2179282,0.01522818
0,26,0.1190476,0,0,0,0.125,0,0,-0.001984127
0,27,0.4047619,0,0.125,0,0.125,0,0.07142857,0.0515873
0,28,0.4285714,0,0.25,0,0.0625,0,0.03367176,0.03869048
0,29,0.07142857,0,0,0,0,0,0,0.02380952
0,30,0.04761905,0,0,0,0,0,0,0.01587302
0,31,0.2380952,0,0.25,0,0,0,0.2857143,-0.003968254
0,32,0.1428571,0,0,0,0,0,0,0.04761905
0,33,0.07142857,0,0.125,0,0,0,0,-0.01785714
0,34,0.4761905,0,0.25,0,0.3583333,0,0.1505847,-0.04404762
0,35,0.3809524,0,0.125,0,0.04166667,0,0,0.07142857
0,36,0.3333333,0,0,0,0.2083333,0,0,0.04166667
0,37,0.4047619,0,0,0,0.0875,0,0,0.105754
0,38,0.5238096,0,0.125,0,0.25,0,0.07529233,0.04960318
0,39,0.2380952,0,0,0,0.01785714,0,0,0.0734127
0,40,0.3095238,0,0.125,0,0.1416667,0,0.05323971,0.01428572
0,41,0.1428571,0,0,0,0,0,0,0.04761905
0,42,0.04761905,0,0,0,0,0,0,0.01587302
0,43,0.2857143,0,0,0,0.025,0,0,0.08690476
0,44,0.4047619,0,0.375,0,0,0,0,0.009920637
0,45,0.2380952,0,0,0,0.05357143,0,0,0.06150794
0,46,0.5952381,0,0.25,0,0.1197917,0,0,0.07514881
0,47,0.5,0,0.375,0,0.15,0,0.1443927,-0.008333336
0,48,0.04761905,0,0,0,0,0,0,0.01587302
0,49,0.1428571,0,0.125,0,0,0,0.1190476,0.005952383
0,50,0.5,0,0,0,0.025,0,0,0.1583333
0,51,0.1428571,0,0,0,0.1625,0,0.1064794,-0.006547615
0,52,0.5,0,0.25,0,0.1583333,0,0,0.03055556
0,53,0.2619048,0,0,0,0,0,0,0.08730159
0,54,0.3333333,0,0,0,0,0,0,0.1111111
0,55,0.04761905,0,0,0,0,0,0,0.01587302
0,56,0.2619048,0,0,0,0,0,0,0.08730159
0,57,0.4761905,0,0.125,0,0.1083333,0,0.3131663,0.08095238
0,58,0.4761905,0,0.125,0,0.075,0,0.2020305,0.09206349
0,59,0.3333333,0,0.25,0,0.0625,0,0,0.006944448
0,60,0.07142857,0,0,0,0,0,0,0.02380952
0,61,0.3571429,0,0.125,0,0.075,0,0.2578197,0.05238095
0,62,0.2619048,0,0.375,0,0.04166667,0,0.06734351,-0.0515873
0,63,0.0952381,0,0,0,0,0,0,0.03174603
0,64,0.07142857,0,0,0,0.09166667,0,0.03367176,-0.006746031
0,65,0.3333333,0,0,0,0.03125,0,0,0.1006944
0,66,0.5,0,0.25,0,0.0875,0,0.04761905,0.05416667
0,67,0.3571429,0,0,0,0,0,0,0.1190476
0,68,0.1190476,0,0,0,0,0,0,0.03968254
0,69,0.5,0,0.125,0,0.2083333,0,0,0.05555555
0,70,0.3333333,0,0.125,0,0.04166667,0,0.1716929,0.05555556
0,71,0.1190476,0,0,0,0.01785714,0,0,0.03373016
0,72,0.04761905,0,0,0,0.05625,0,0,-0.002876983
0,73,0.3095238,0,0.125,0,0.25,0,0,-0.02182539
0,74,0.1428571,0,0,0,0.0625,0,0,0.02678572
0,75,0.1190476,0,0,0,0.1845238,0,0,-0.0218254
0,76,0.1666667,0,0.125,0,0,0,0,0.01388889
0,77,0.3809524,0,0.375,0,0,0,0,0.001984129
0,78,0.4761905,0,0.25,0,0,0,0,0.07539683
0,79,0.3333333,0,0,0,0,0,0,0.1111111
0,80,0.3571429,0,0.375,0,0.08333334,0,0,-0.03373016
0,81,0.4761905,0,0.25,0,0.03125,0,0.1625816,0.06498016
0,82,0.2619048,0,0.125,0,0.25,0,0,-0.03769841
0,83,0.1666667,0,0,0,0,0,0,0.05555556
0,84,0.0952381,0,0,0,0.04166667,0,0,0.01785714
0,85,0.3809524,0,0.375,0,0.103125,0,0,-0.03239087
0,86,0.2142857,0,0,0,0,0,0,0.07142857
0,87,0.1428571,0,0,0,0,0,0,0.04761905
0,88,0.04761905,0,0,0,0.03571429,0,0,0.003968254
0,89,0.3095238,0,0.125,0,0.1666667,0,0.1428571,0.005952383
0,90,0.1666667,0,0,0,0.08333334,0,0,0.02777778
0,91,0.1428571,0,0,0,0.2,0,0,-0.01904762
0,92,0.1428571,0,0,0,0.125,0,0,0.005952383
0,93,0.04761905,0,0,0,0.25,0,0,-0.06746031
0,94,0.04761905,0,0,0,0,0,0,0.01587302
0,95,0.2857143,0,0.25,0,0.2380953,0,0,-0.06746032
0,96,0.2857143,0,0,0,0.09583334,0,0.1963384,0.06329365
0,97,0.547619,0,0,0,0.1666667,0,0.1505847,0.1269841
0,98,0.3571429,0,0.125,0,0.075,0,0.03367176,0.05238095
0,99,0.5714286,0,0.625,0,0.125,0,0.04761905,-0.0595238
1,0,0.5952381,0,0.25,0,0.1197917,0,0,0.07514881
1,1,0.4761905,0,0.125,0,0.125,0,0,0.07539683
1,2,0.4761905,0,0.25,0,0,0,0,0.07539683
1,3,0.3571429,0,0.125,0,0,0,0,0.07738096
1,4,0.3571429,0,0.125,0,0,0,0,0.07738096
1,5,0.2380952,0,0,0,0,0,0,0.07936508
1,6,0.2380952,0,0,0,0,0,0,0.07936508
1,7,0.4285714,0,0.125,0,0.0625,0,0.2380952,0.08035714
1,8,0.4285714,0,0.125,0,0.0625,0,0.1190476,0.08035714
1,9,0.4761905,0,0.125,0,0.1083333,0,0.3131663,0.08095238
1,10,0.3809524,0,0.125,0,0,0,0,0.08531746
1,11,0.3809524,0,0.125,0,0,0,0,0.08531746
1,12,0.5714286,0,0,0,0.3145833,0,0,0.08561509
1,13,0.4047619,0,0,0,0.1458333,0,0,0.08630952
1,14,0.2857143,0,0,0,0.025,0,0,0.08690476
1,15,0.2857143,0,0,0,0.025,0,0,0.08690476
1,16,0.2619048,0,0,0,0,0,0,0.08730159
1,17,0.2619048,0,0,0,0,0,0,0.08730159
1,18,0.2619048,0,0,0,0,0,0,0.08730159
1,19,0.2619048,0,0,0,0,0,0,0.08730159
