Generation,ChromosomeIndex,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,Fitness_SumOfFitnessScore
Weight,-->,1,0,0,0,0,0,0,
MAX[1/ 1/ 1/ 0/ 1],min[1/ 1/ 4/ 1/ 1],,,,,,,,
0,0,0.14,0.25,0.125,0,0.04166667,0,0.2857143,0.13
0,1,0.24,0.5833334,0.375,0,0,0,0.2896554,0.2744445
0,2,0.26,0.3611111,0,0,0.025,0.4,0,0.207037
0,3,0.24,0.25,0.25,0,0.05,0,0,0.1633333
0,4,0.06,0.3611111,0,0,0,0,0,0.1403704
0,5,0.04,0.3611111,0,0,0.04166667,0.2,0,0.1337037
0,6,0.1,0.3055556,0.375,0,0,0,0.04761905,0.1351852
0,7,0.24,0.1111111,0.125,1,0,0,0,0.4503704
0,8,0.04,0.25,0,0,0,0,0,0.09666666
0,9,0.18,0.5833334,0.125,0,0.025,0,0.05323971,0.2544445
0,10,0.26,0.25,0,0,0.04166667,0.1666667,0,0.17
0,11,0.04,0.25,0,0,0,0,0,0.09666666
0,12,0.22,0.25,0,0,0.1982143,0,0.1064794,0.1566667
0,13,0.24,0.25,0.125,0,0.125,0.3333333,0,0.1633333
0,14,0.16,0.3611111,0,0,0,0,0,0.1737037
0,15,0.1,0,0,1,0,0,0,0.3666667
0,16,0.2,0,0,1,0,0,0,0.4
0,17,0.18,0.25,0,0,0,0.5,0,0.1433333
0,18,0.18,0.25,0,0,0,0,0,0.1433333
0,19,0.2,0.25,0,0,0.08333334,0.6666667,0,0.15
0,20,0.2,0.3611111,0,0,0.04166667,0,0,0.187037
0,21,0.2,0.25,0,0,0.04166667,0,0,0.15
0,22,0.16,0.4722222,0.25,0,0,0,0.2142857,0.2107407
0,23,0.1,0.25,0,0,0,0,0,0.1166667
0,24,0.22,0.25,0,0,0.15,0.25,0,0.1566667
0,25,0.24,0.4166667,0,0,0.1416667,0,0,0.2188889
0,26,0.26,0.4722222,0.125,0,0.08482143,0.6,0.1214052,0.2440741
0,27,0.24,0.3611111,0,0,0,0.5,0,0.2003704
0,28,0.24,0.25,0,0,0.0625,0,0,0.1633333
0,29,0.12,0.25,0,0,0,0,0,0.1233333
0,30,0.18,0.25,0,0,0.2375,0,0,0.1433333
0,31,0.2,0,0,1,0.05,0,0.1963384,0.4
0,32,0.2,0.25,0.125,0,0.1,0,0,0.15
0,33,0.1,0.3611111,0,0,0,0,0,0.1537037
