Generation,ChromosomeIndex,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,Fitness_SumOfFitnessScore
Weight,-->,1,0,0,0,0,0,0,
MAX[1/ 1/ 1/ 0/ 0],min[1/ 1/ 4/ 1/ 1],,,,,,,,
0,0,0.375,0.25,0.375,0,0.04166667,0,0.2142857,0.2083333
0,1,0.125,0.3611111,0,0,0,0,0,0.0625
0,2,0.28125,0,0,0,0.1666667,0,0,0.2239583
0,3,0.4375,0,0.125,1,0,0,0,0.21875
0,4,0.25,0.25,0,0,0,0.5,0,0.125
0,5,0.3125,0,0,0,0.125,0,0,0.21875
0,6,0.28125,0.1111111,0.125,1,0,0,0,0.140625
0,7,0.25,0.25,0.125,0,0,0,0,0.125
0,8,0.0625,0.25,0,0,0,0,0,0.03125
0,9,0.3125,0,0.125,0,0,0,0,0.15625
0,10,0.09375,0.25,0,0,0,0,0,0.046875
0,11,0.3125,0,0,0,0.08333334,0,0,0.1979167
0,12,0.3125,0,0,1,0,0,0,0.15625
0,13,0.375,0.25,0,0,0.0625,1,0,0.21875
0,14,0.28125,0.1111111,0,1,0.125,0,0,0.203125
0,15,0.28125,0,0.125,0,0,0,0,0.140625
0,16,0.34375,0,0.125,0,0.08333334,0,0,0.2135417
0,17,0.0625,0,0,0,0,0,0,0.03125
0,18,0.34375,0.3055556,0.125,0,0,0.5,0,0.171875
0,19,0.0625,0,0,0,0.03125,0,0,0.046875
0,20,0.375,0,0.125,0,0.125,0,0,0.25
0,21,0.40625,0,0,0,0,0,0,0.203125
0,22,0.34375,0.1111111,0.125,1,0,0,0.0952381,0.171875
0,23,0.0625,0.25,0,0,0.15625,0,0,0.109375
0,24,0.375,0,0.125,0,0,0,0,0.1875
0,25,0.375,0.25,0.375,0,0,0,0.02380952,0.1875
0,26,0.34375,0,0.25,0,0.08333334,0,0.04761905,0.2135417
0,27,0.3125,0.1666667,0.125,1,0.2916667,0,0,0.3020833
0,28,0.0625,0.25,0,0,0,0,0,0.03125
0,29,0.3125,0.3611111,0.125,0,0,0,0.2380952,0.15625
0,30,0.09375,0.3055556,0,0,0,0,0,0.046875
0,31,0.28125,0,0.25,0,0.08333334,0,0,0.1822917
0,32,0.34375,0,0.125,1,0,0,0,0.171875
0,33,0.28125,0,0.25,0,0,0,0.0952381,0.140625
0,34,0.375,0,0.125,0,0,0,0,0.1875
0,35,0.125,0.1111111,0.125,1,0,0,0.0952381,0.0625
0,36,0.375,0,0,0,0.08333334,0,0,0.2291667
0,37,0.125,0.3611111,0,0,0,0.6666667,0,0.0625
0,38,0.3125,0.4722222,0,0,0,0,0,0.15625
0,39,0.375,0,0.125,0,0,0,0,0.1875
0,40,0.125,0.25,0,0,0,0,0,0.0625
0,41,0.28125,0.1111111,0,1,0.0625,0,0,0.171875
0,42,0.0625,0.4722222,0,0,0,0,0,0.03125
0,43,0.3125,0.1111111,0,1,0.08333334,0,0,0.1979167
0,44,0.28125,0.25,0.25,0,0,0,0.2380952,0.140625
0,45,0.4375,0,0.25,0,0,0,0.1190476,0.21875
0,46,0.15625,0.25,0,0,0,0,0,0.078125
