Generation,ChromosomeIndex,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,Fitness_SumOfFitnessScore
Weight,-->,1,0,0,0,0,0,0,
MAX[1/ 1/ 1/ 0/ 1],min[1/ 1/ 4/ 1/ 1],,,,,,,,
0,0,0.3870968,0.25,0.125,0,0,0,0,0.3185484
0,1,0.09677419,0.25,0,0,0.03125,0,0,0.1733871
0,2,0.09677419,0.3611111,0,0,0.0625,0,0,0.2289426
0,3,0.4516129,0,0,1,0,0,0,0.2258064
0,4,0.06451613,0.4722222,0,0,0,0,0,0.2683692
0,5,0.1612903,0.3611111,0.125,0,0,0,0,0.2612007
0,6,0.2903226,0,0.125,1,0,0,0,0.1451613
0,7,0.09677419,0.4722222,0,0,0,0,0,0.2844982
0,8,0.09677419,0.25,0,0,0,0.3333333,0,0.1733871
0,9,0.1612903,0.25,0.125,0,0,0,0,0.2056452
0,10,0.1612903,0,0,1,0,0,0,0.08064516
0,11,0.06451613,0.25,0,0,0,0,0,0.1572581
0,12,0.09677419,0.3611111,0,0,0,0,0,0.2289426
0,13,0.06451613,0.3611111,0,0,0,0,0,0.2128136
0,14,0.2580645,0.3611111,0,0,0,0,0,0.3095878
0,15,0.483871,0.1111111,0.125,1,0.08333334,0,0,0.297491
0,16,0.06451613,0.25,0,0,0,0,0,0.1572581
0,17,0.4193548,0.4722222,0.25,0,0,0,0,0.4457885
0,18,0.1612903,0.3055556,0.125,0,0,0,0,0.2334229
0,19,0.4516129,0.25,0,0,0,0,0,0.3508064
0,20,0.4516129,0.25,0,0,0,0,0,0.3508064
0,21,0.2903226,0.3611111,0,0,0,0,0,0.3257169
0,22,0.4193548,0.1111111,0.625,1,0,0,0.1428571,0.265233
0,23,0.3870968,0.25,0.125,0,0,0,0.1904762,0.3185484
0,24,0.3548387,0.3611111,0,0,0.1666667,0,0,0.3579749
0,25,0.1290323,0.25,0.125,0,0,0,0,0.1895161
0,26,0.516129,0.25,0,0,0,0,0,0.3830645
0,27,0.3548387,0.25,0.5,0,0,0,0.0952381,0.3024194
0,28,0.09677419,0.25,0,0,0.1666667,0,0.1904762,0.1733871
0,29,0.3225806,0.25,0.125,0,0,0,0,0.2862903
0,30,0.3870968,0,0,1,0,0,0,0.1935484
0,31,0.4193548,0,0.125,1,0,0,0,0.2096774
0,32,0.3225806,0.3055556,0.125,0,0,0,0,0.3140681
