Generation,ChromosomeIndex,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,Fitness_SumOfFitnessScore
Weight,-->,1,0,0,0,0,0,0,
MAX[1/ 1/ 1/ 0/ 0],min[1/ 1/ 4/ 1/ 1],,,,,,,,
0,0,0.05263158,0.25,0,0,0,0,0,0.01315789
0,1,0.2368421,0,0,1,0.025,0,0,0.05296053
0,2,0.131579,0.4722222,0.125,0,0,0,0,0.001644738
0,3,0.4473684,0.3611111,0.375,0,0,0.4285714,0,0.0180921
0,4,0.2631579,0.3611111,0.125,0,0.08854167,0.6666667,0.2032695,0.06322143
0,5,0.131579,0,0,0,0,0,0,0.03289474
0,6,0.3421053,0.25,0.125,0,0.1041667,0.8,0,0.02823465
0,7,0.2894737,0.2222222,0.5,1,0.05,0,0.02380952,-0.0591792
0,8,0.2894737,0,0.125,0,0.1744048,0,0.1064794,0.02413708
0,9,0.05263158,0.3611111,0,0,0,0,0,0.01315789
0,10,0.1842105,0,0,0,0,0,0,0.04605263
0,11,0.2105263,0.3611111,0.25,0,0.25,0.4285714,0,-0.07236842
0,12,0.1842105,0.3611111,0.125,0,0.125,0,0.1428571,0.01926692
0,13,0.1578947,0,0.125,0,0.15,0,0,-0.02927632
0,14,0.1578947,0.3611111,0,0,0,0,0,0.03947368
0,15,0.4210526,0,0,0,0.125,0,0,0.07401316
0,16,0.2105263,0,0,0,0.04166667,0,0.05323971,0.05552484
0,17,0.3947369,0,0,0,0.1770833,0,0,0.05441338
0,18,0.2631579,0,0,0,0,0,0,0.06578948
0,19,0.3947369,0,0,0,0.03125,0,0,0.09087171
0,20,0.05263158,0,0,0,0,0,0,0.01315789
0,21,0.2368421,0.25,0.125,0,0.2291667,0.6666667,0,-0.02933114
0,22,0.1052632,0.4722222,0,0,0,0,0,0.02631579
0,23,0.368421,0.3611111,0.125,0,0.03571429,1,0,0.05192669
0,24,0.05263158,0,0,0,0,0,0,0.01315789
0,25,0.1578947,0.25,0,0,0.046875,0,0,0.02775493
0,26,0.2631579,0,0.125,0,0.01785714,0,0,0.03007519
0,27,0.5263158,0,0.125,0,0.1375,0,0,0.06595396
0,28,0.1842105,0.4722222,0,0,0.015625,0,0,0.04214638
0,29,0.2105263,0.2222222,0,1,0.175,0,0,0.00888158
0,30,0.2368421,0.3611111,0,0,0.05,0,0,0.04671053
0,31,0.131579,0,0,0,0,0,0,0.03289474
0,32,0.1578947,0,0.25,0,0,0,0,-0.02302632
0,33,0.3157895,0.3611111,0,0,0.09375,0,0,0.05550987
0,34,0.2894737,0.25,0.375,0,0,0,0,-0.02138158
0,35,0.3157895,0,0,0,0.05,0,0,0.06644736
0,36,0.131579,0,0.25,0,0.05,0,0,-0.04210526
0,37,0.05263158,0.25,0,0,0.05,0,0,0.0006578946
0,38,0.1052632,0,0,0,0,0,0,0.02631579
0,39,0.1578947,0.05555556,0,1,0.125,0,0,0.008223683
0,40,0.2368421,0.3611111,0,0,0.08333334,1,0,0.0383772
0,41,0.3947369,0.5277778,0.375,0,0.075,0.75,0.1428571,0.0218985
