Generation,ChromosomeIndex,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,Fitness_SumOfFitnessScore
Weight,-->,0,1,1,
Tactic_Bait,Tactic_Ambush,Tactic_TwoProngedAttack,Tactic_Defense,Tactic_Clash,
False * 1,True * 1,False * 1,False * 1,False * 1,
0,0,0.125,0.3125,0.6086956,0.3070652
0,1,0.3703704,0.1481481,0.4117647,0.1866376
0,2,0.2702703,0.2432432,0.25,0.1644144
0,3,0.125,0.1875,0.07692308,0.08814102
0,4,0.5365854,0.04878049,0.4782609,0.1756805
0,5,0.2758621,0.137931,0.1904762,0.1094691
0,6,0.2,0.2,0.1363636,0.1121212
0,7,0.4705882,0.05882353,0.3,0.1196079
0,8,0.137931,0.4137931,0.368421,0.260738
0,9,0.125,0.0625,0.1785714,0.08035714
0,10,0,0.2580645,0.04,0.09935483
0,11,0.2285714,0.1142857,0.8518519,0.3220459
0,12,0.25,0.25,0.3636364,0.2045455
0,13,0,0.3333333,0.2,0.1777778
0,14,0,0.7727273,0.08333334,0.2853535
0,15,0.3157895,0.2105263,0.375,0.1951754
0,16,0.3030303,0.3030303,0.55,0.2843435
0,17,0.5555556,0.1944444,0.5333334,0.2425926
0,18,0.1818182,0.1515152,0.8,0.3171717
0,19,0.4571429,0,0.5,0.1666667
0,20,0,0.2608696,0.05263158,0.1045004
0,21,0.2903226,0.1290323,0.3809524,0.1699949
0,22,0.3125,0.28125,0.1666667,0.1493056
0,23,0.3243243,0.05405406,0.6538461,0.2359667
0,24,0.4117647,0.05882353,0.1363636,0.06506239
0,25,0.4390244,0.1219512,0.173913,0.09862142
0,26,0.1212121,0.2727273,0.64,0.3042424
0,27,0.1290323,0.1290323,0.07692308,0.06865178
0,28,0.2777778,0.1388889,0.16,0.09962963
0,29,0.1818182,0.2121212,0.4583333,0.2234849
0,30,0.2666667,0.06666667,0.3913043,0.152657
0,31,0.2352941,0.1176471,0.3461539,0.1546003
0,32,0.2758621,0.06896552,0.04545455,0.03814002
0,33,0.1111111,0.25,0.1428571,0.1309524
0,34,0.2758621,0.3793103,0.2352941,0.2048682
0,35,0.3428572,0.2285714,0.5238096,0.2507937
0,36,0,0.3333333,0.05,0.1277778
0,37,0.5142857,0,0.55,0.1833333
0,38,0,0.2857143,0.1333333,0.1396825
0,39,0.4571429,0.08571429,0.2,0.0952381
0,40,0.1212121,0.2121212,0.1538462,0.1219891
0,41,0.2666667,0.1333333,0.4761905,0.2031746
0,42,0,0.2142857,0.24,0.1514286
0,43,0,0.4,0.05263158,0.1508772
0,44,0.2352941,0.2647059,0.5454546,0.2700535
0,45,0.3636364,0.06060606,0.4545455,0.1717172
0,46,0.32,0.08,0.1666667,0.08222222
0,47,0,0.16,0.1304348,0.09681159
0,48,0.2758621,0.137931,0.0952381,0.07772304
