Generation,ChromosomeIndex,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,Fitness_SumOfFitnessScore
Weight,-->,1,0,1,
Tactic_Bait,Tactic_Ambush,Tactic_TwoProngedAttack,Tactic_Defense,Tactic_Clash,
True * 1,False * 1,False * 1,False * 1,False * 1,
0,0,0.3333333,0.1666667,0.1052632,0.1461988
0,1,0.1290323,0.1290323,0.5384616,0.2224979
0,2,0.1875,0.25,0.3478261,0.178442
0,3,0.2857143,0.1428571,0.15,0.1452381
0,4,0.3125,0.1875,0.55,0.2875
0,5,0.4761905,0,0.96,0.4787301
0,6,0.3529412,0.1764706,0.4761905,0.2763772
0,7,0.1818182,0.1818182,0.12,0.1006061
0,8,0.3888889,0.2222222,0.25,0.212963
0,9,0.3333333,0.1333333,0.2,0.1777778
0,10,0.3333333,0.2,0.2105263,0.1812866
0,11,0.4324324,0.1081081,0.1304348,0.1876224
0,12,0,0.2666667,0.1153846,0.03846154
0,13,0.3225806,0.1935484,0.2,0.1741935
0,14,0.4615385,0.2051282,0.65,0.3705128
0,15,0.5625,0.0625,0.2352941,0.2659314
0,16,0.4761905,0.1428571,0.4285714,0.3015873
0,17,0.5945946,0.05405406,0.6111111,0.4019019
0,18,0.1875,0.21875,0.3478261,0.178442
0,19,0.125,0.125,0.2592593,0.1280864
0,20,0.3939394,0.1212121,0.35,0.2479798
0,21,0.2285714,0.1142857,0.6538461,0.2941392
0,22,0.2,0.1333333,0.6086956,0.2695652
0,23,0.5555556,0.05555556,0.7777778,0.4444444
0,24,0.2105263,0.3157895,0.1538462,0.1214575
0,25,0.125,0.1875,0.7307692,0.2852564
0,26,0,0.2083333,0.04761905,0.01587302
0,27,0,0.25,0.04166667,0.01388889
0,28,0.1333333,0.4333333,0.2,0.1111111
0,29,0.1176471,0.2352941,0.6666667,0.2614379
0,30,0.4,0.1333333,0.7222222,0.3740741
0,31,0.4864865,0.1351351,0.7,0.3954955
0,32,0.25,0.34375,0.55,0.2666667
0,33,0.3529412,0.1764706,0.3,0.2176471
0,34,0.4117647,0.2352941,0.1578947,0.1898865
0,35,0.137931,0.137931,0.625,0.2543103
0,36,0.1875,0.25,0.5652174,0.2509058
0,37,0,0.32,0.1904762,0.06349207
0,38,0.25,0.0625,0.48,0.2433333
0,39,0.3870968,0.1935484,0.8333333,0.40681
0,40,0.25,0.1875,0.04347826,0.09782609
0,41,0.3333333,0.2333333,0.4444444,0.2592593
0,42,0.1818182,0.06060606,0.1851852,0.1223345
0,43,0.2777778,0.1388889,0.48,0.2525926
0,44,0.2580645,0.06451613,0.25,0.1693548
0,45,0.4848485,0.06060606,0.8421053,0.4423179
0,46,0.4117647,0.1176471,0.4285714,0.2801121
0,47,0.2352941,0.1764706,0.48,0.2384314
0,48,0.4666667,0.1333333,0.05882353,0.1751634
0,49,0.2352941,0.2941177,0.04545455,0.09358289
0,50,0.3636364,0.09090909,0.4090909,0.2575758
0,51,0.375,0.1875,0.2105263,0.1951754
0,52,0.2631579,0.05263158,0.5172414,0.2601331
0,53,0.1290323,0.1612903,0.32,0.1496774
0,54,0.2,0.3333333,0.2,0.1333333
0,55,0.3,0.1333333,0.5,0.2666667
0,56,0.55,0.175,0.8235294,0.4578432
0,57,0.3076923,0.2307692,0.4117647,0.239819
0,58,0.5454546,0.2121212,0.5333334,0.359596
0,59,0.3846154,0.2307692,0.2666667,0.217094
0,60,0,0.5,0.1904762,0.06349207
0,61,0.2424242,0.1818182,0.173913,0.1387791
0,62,0.2352941,0.05882353,0.1538462,0.1297134
0,63,0.16,0.28,0.05555556,0.07185185
0,64,0.4324324,0.1081081,0.4782609,0.3035644
0,65,0.3636364,0.1818182,0.2857143,0.2164502
0,66,0.5,0.1875,0.4375,0.3125
0,67,0.375,0.0625,0.2272727,0.2007576
0,68,0,0.2666667,0.2307692,0.07692308
0,69,0.4285714,0.3571429,0.1428571,0.1904762
0,70,0.5263158,0.1052632,0.55,0.358772
0,71,0.125,0.125,0.1111111,0.0787037
0,72,0.3414634,0,0.8,0.3804878
0,73,0.125,0.125,0.1481481,0.09104938
0,74,0.1212121,0.3333333,0.4782609,0.1998243
0,75,0.4375,0.15625,0.1666667,0.2013889
0,76,0.2666667,0,0.2083333,0.1583333
0,77,0,0.3846154,0.05,0.01666667
0,78,0.16,0.16,0.15,0.1033333
