Generation,ChromosomeIndex,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,Fitness_SumOfFitnessScore
Weight,-->,0,1,1,
Tactic_Bait,Tactic_Ambush,Tactic_TwoProngedAttack,Tactic_Defense,Tactic_Clash,
False * 1,False * 1,False * 1,False * 1,True * 1,
0,0,0.3529412,0.05882353,0.125,0.09191176
0,1,0.2352941,0.05882353,0.1481481,0.1034858
0,2,0.1538462,0.2307692,0.15,0.1903846
0,3,0.2068966,0.2758621,0.6,0.4379311
0,4,0.2941177,0.2647059,0.5,0.3823529
0,5,0.3030303,0.1212121,0.4347826,0.2779974
0,6,0,0.4074074,0.4761905,0.4417989
0,7,0.4,0.2,0.1764706,0.1882353
0,8,0.1818182,0.06060606,0.5185185,0.2895623
0,9,0.4,0.2333333,0.1176471,0.1754902
0,10,0.3571429,0.1428571,0.5,0.3214286
0,11,0.3529412,0.05882353,0.4782609,0.2685422
0,12,0.2142857,0.25,0.368421,0.3092105
0,13,0.375,0.0625,0.7142857,0.3883929
0,14,0.5116279,0,0.96,0.48
0,15,0.1290323,0.1612903,0.6,0.3806452
0,16,0,0.1481481,0.04,0.09407407
0,17,0.2777778,0,0.6428571,0.3214286
0,18,0.1818182,0.1212121,0.2692308,0.1952215
0,19,0.375,0.25,0.5882353,0.4191177
0,20,0.375,0.0625,0.2380952,0.1502976
0,21,0.1333333,0.3666667,0.25,0.3083333
0,22,0,0.3333333,0.4090909,0.3712121
0,23,0.625,0.15625,0.5384616,0.3473558
0,24,0.32,0.24,0.3125,0.27625
0,25,0.1875,0.125,0.4,0.2625
0,26,0.1818182,0.1212121,0.4230769,0.2721445
0,27,0.2580645,0.09677419,0.2272727,0.1620235
0,28,0.1428571,0.3214286,0.25,0.2857143
0,29,0.1176471,0.1176471,0.7586207,0.4381339
0,30,0.3636364,0.1212121,0.5714286,0.3463204
0,31,0.1428571,0.1428571,0.04347826,0.09316771
0,32,0.25,0.125,0.5833333,0.3541667
0,33,0.16,0.28,0.1111111,0.1955556
0,34,0.3888889,0.1111111,0.4782609,0.294686
0,35,0.4210526,0.1052632,0.7391304,0.4221968
0,36,0,0.28125,0.1481481,0.2146991
0,37,0.2857143,0.1428571,0.3,0.2214286
0,38,0.4848485,0.06060606,0.2631579,0.161882
0,39,0,0.3333333,0.05,0.1916667
0,40,0.4516129,0.1290323,0.1111111,0.1200717
0,41,0.5365854,0.09756097,0.8095238,0.4535424
0,42,0.2666667,0.2333333,0.1,0.1666667
0,43,0,0.2058824,0.1333333,0.1696078
0,44,0.1428571,0.2142857,0.2272727,0.2207792
0,45,0,0.07142857,0.03703704,0.05423281
0,46,0.3030303,0.2424242,0.3333333,0.2878788
0,47,0.137931,0.06896552,0.08,0.07448275
0,48,0.137931,0.3448276,0.65,0.4974138
