Generation,ChromosomeIndex,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,Fitness_SumOfFitnessScore
Weight,-->,1,0,1,
Tactic_Bait,Tactic_Ambush,Tactic_TwoProngedAttack,Tactic_Defense,Tactic_Clash,
False * 1,False * 1,False * 1,True * 1,False * 1,
0,0,0.4375,0.0625,0.05,0.1625
0,1,0.1935484,0,0.2692308,0.1542597
0,2,0.5789474,0.05263158,0.7,0.4263158
0,3,0,0.137931,0.03703704,0.01234568
0,4,0,0.2580645,0.1481481,0.04938272
0,5,0.3870968,0.1935484,0.1052632,0.16412
0,6,0,0.3809524,0.05882353,0.01960784
0,7,0.1176471,0.3235294,0.72,0.2792157
0,8,0.32,0.16,0.1764706,0.1654902
0,9,0.4444444,0.1111111,0.95,0.4648148
0,10,0.25,0.375,0.2222222,0.1574074
0,11,0.1818182,0.1818182,0.2352941,0.1390374
0,12,0,0.5,0.15,0.05
0,13,0.25,0.125,0.625,0.2916667
0,14,0.1428571,0.2142857,0.3636364,0.1688312
0,15,0,0.07142857,0.03703704,0.01234568
0,16,0,0.1851852,0.04166667,0.01388889
0,17,0,0.2222222,0.2173913,0.07246377
0,18,0.4,0.1142857,0.2727273,0.2242424
0,19,0.48,0.2,0.4166667,0.2988889
0,20,0.2941177,0.1176471,0.7916667,0.3619281
0,21,0.5714286,0.05714286,0.4705882,0.3473389
0,22,0.137931,0.4137931,0.35,0.1626437
0,23,0.3,0.2,0.962963,0.4209877
0,24,0.1333333,0.2,0.375,0.1694444
0,25,0.3333333,0.1666667,0.1875,0.1736111
0,26,0.1176471,0.2058824,0.1111111,0.07625272
0,27,0,0.3666667,0.04166667,0.01388889
0,28,0.3636364,0.3030303,0.1052632,0.1562998
0,29,0.1290323,0.2903226,0.08695652,0.07199626
0,30,0.125,0.1875,0.3846154,0.1698718
0,31,0.1052632,0.1052632,0.5151515,0.2068049
0,32,0.3333333,0.06666667,0.7619048,0.3650794
0,33,0.4,0.2,0.5555556,0.3185185
0,34,0,0.3666667,0.04347826,0.01449275
0,35,0.4,0.1142857,0.4090909,0.269697
0,36,0,0.1538462,0.04166667,0.01388889
0,37,0.1176471,0.2941177,0.24,0.1192157
0,38,0.4571429,0.1428571,0.3157895,0.2576441
0,39,0.2352941,0.05882353,0.2307692,0.1553545
0,40,0.4864865,0.08108108,0.2,0.2288288
0,41,0.4444444,0,0.2083333,0.2175926
0,42,0.4736842,0.131579,0.8571429,0.443609
0,43,0.2285714,0.2857143,0.5833333,0.2706349
0,44,0.6666667,0.1111111,0.7333333,0.4666667
0,45,0.25,0.1875,0.2608696,0.1702899
0,46,0.25,0.0625,0.8,0.35
0,47,0.4210526,0,0.52,0.3136842
0,48,0.4705882,0.1764706,0.1666667,0.2124183
0,49,0.2424242,0.1818182,0.125,0.1224748
0,50,0,0.2962963,0.1304348,0.04347826
0,51,0,0.137931,0.2962963,0.09876543
0,52,0,0.3870968,0.125,0.04166667
0,53,0.3428572,0.05714286,0.32,0.2209524
0,54,0.125,0.28125,0.2083333,0.1111111
0,55,0.2068966,0.06896552,0.1304348,0.1124438
0,56,0.4375,0.125,0.1578947,0.1984649
0,57,0.2702703,0.2972973,0.08695652,0.1190756
0,58,0.3529412,0.05882353,0.4583333,0.2704248
0,59,0.2424242,0.1818182,0.3333333,0.1919192
0,60,0,0.25,0.04761905,0.01587302
0,61,0.3870968,0.06451613,0.2380952,0.2083973
0,62,0.3448276,0.2758621,0.125,0.1566092
0,63,0.2857143,0.4285714,0.2,0.1619048
0,64,0,0.125,0.1034483,0.03448276
0,65,0.1333333,0.2,0.2608696,0.131401
0,66,0.3030303,0.06060606,0.5833333,0.2954545
0,67,0.4210526,0.131579,0.4761905,0.299081
0,68,0,0.4444444,0.1578947,0.05263158
0,69,0,0.3030303,0.7857143,0.2619047
0,70,0.3333333,0.06666667,0.3333333,0.2222222
0,71,0.25,0.21875,0.7272727,0.3257576
0,72,0.3902439,0,0.9285714,0.4396051
0,73,0.2758621,0.2758621,0.1666667,0.1475096
0,74,0.6,0.1,0.7894737,0.4631579
0,75,0.125,0.3125,0.375,0.1666667
0,76,0.2580645,0.2903226,0.3,0.1860215
0,77,0.4242424,0.2121212,0.7222222,0.3821549
0,78,0.3,0.05,0.6206896,0.3068965
0,79,0.6111111,0,0.6842105,0.4317739
