Generation,ChromosomeIndex,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,Fitness_SumOfFitnessScore
Weight,-->,1,0,1,
Tactic_Bait,Tactic_Ambush,Tactic_TwoProngedAttack,Tactic_Defense,Tactic_Clash,
False * 1,False * 1,True * 1,False * 1,False * 1,
0,0,0.3428572,0.1142857,0.25,0.1976191
0,1,0.5263158,0.1052632,0.45,0.3254386
0,2,0,0.25,0.1666667,0.05555556
0,3,0.5365854,0.1951219,0.6470588,0.3945481
0,4,0.4516129,0.2258064,0.4,0.283871
0,5,0.3333333,0.1944444,0.2173913,0.1835749
0,6,0,0.3846154,0.04761905,0.01587302
0,7,0,0.4,0.05,0.01666667
0,8,0.125,0.25,0.68,0.2683333
0,9,0.6410257,0.05128205,0.875,0.5053419
0,10,0.3125,0.25,0.5,0.2708333
0,11,0.2424242,0.2121212,0.08695652,0.1097936
0,12,0.6470588,0,0.9375,0.5281863
0,13,0.25,0.0625,0.2,0.15
0,14,0.6410257,0.1282051,0.2857143,0.3089133
0,15,0.1212121,0.2121212,0.1538462,0.09168609
0,16,0.125,0.25,0.2083333,0.1111111
0,17,0.1935484,0.1612903,0.1304348,0.1079944
0,18,0.2424242,0.1212121,0.32,0.1874747
0,19,0.3636364,0.1212121,0.2857143,0.2164502
0,20,0.1428571,0.2142857,0.1363636,0.0930736
0,21,0.4545455,0.09090909,0.2307692,0.2284382
0,22,0.3225806,0.1935484,0.05,0.1241935
0,23,0.1212121,0.1818182,0.1111111,0.07744108
0,24,0.137931,0.137931,0.125,0.08764368
0,25,0.4324324,0.1081081,0.2727273,0.2350532
0,26,0.2758621,0.2758621,0.2105263,0.1621295
0,27,0.1481481,0.2962963,0.35,0.1660494
0,28,0.1290323,0.1935484,0.04,0.05634408
0,29,0.3030303,0.1818182,0.2727273,0.1919192
0,30,0.25,0.125,0.25,0.1666667
0,31,0.2666667,0.1333333,0.1363636,0.1343434
0,32,0.4736842,0.2105263,0.45,0.3078947
0,33,0,0.2903226,0.03846154,0.01282051
0,34,0.1212121,0.1818182,0.1111111,0.07744108
0,35,0.3333333,0.2333333,0.5,0.2777778
0,36,0.16,0.4,0.125,0.095
0,37,0.2758621,0.2758621,0.8333333,0.3697318
0,38,0.3636364,0,0.3333333,0.2323232
0,39,0.1875,0.125,0.32,0.1691667
0,40,0.375,0.0625,0.3809524,0.2519841
0,41,0.1290323,0.3225806,0.7391304,0.2893876
0,42,0.2857143,0.2857143,0.4705882,0.2521009
0,43,0.1212121,0.2424242,0.3076923,0.1429681
0,44,0,0.1666667,0.04545455,0.01515152
0,45,0.4137931,0.2758621,0.3333333,0.2490422
0,46,0.1290323,0.2580645,0.5652174,0.2314165
0,47,0.125,0.4375,0.2380952,0.1210317
0,48,0.3428572,0.1142857,0.5217391,0.2881988
0,49,0.3636364,0.09090909,0.1818182,0.1818182
0,50,0.4242424,0.1212121,0.15,0.1914141
0,51,0.1666667,0.25,0.1111111,0.0925926
0,52,0.2758621,0.3793103,0.1764706,0.1507775
0,53,0.1538462,0.3846154,0.1111111,0.08831909
0,54,0.2222222,0.2222222,0.56,0.2607408
0,55,0.2857143,0.2285714,0.173913,0.1532091
0,56,0.3225806,0.3870968,0.3529412,0.2251739
0,57,0.3870968,0.06451613,0.35,0.2456989
0,58,0.25,0.1875,0.1818182,0.1439394
0,59,0.1290323,0.3870968,0.1818182,0.1036168
0,60,0.1875,0.3125,0.3333333,0.1736111
0,61,0.3783784,0.2972973,0.8,0.3927928
0,62,0.1212121,0.1212121,0.5,0.2070707
0,63,0.1935484,0.1935484,0.1304348,0.1079944
0,64,0.2941177,0.0882353,0.04166667,0.1119281
0,65,0.2307692,0.3461539,0.8125,0.3477564
0,66,0.4736842,0.1052632,0.6190476,0.364244
0,67,0,0.2758621,0.28,0.09333333
0,68,0.2941177,0.1470588,0.1304348,0.1415175
0,69,0.4137931,0.1724138,0.2352941,0.2163624
0,70,0.3888889,0.1666667,0.8636364,0.4175084
0,71,0.3714286,0.2285714,0.7,0.3571429
0,72,0,0.24,0.04545455,0.01515152
0,73,0.5,0.1666667,0.7222222,0.4074074
0,74,0.3529412,0.1764706,0.2272727,0.1934046
0,75,0.3448276,0.1034483,0.3157895,0.2202057
0,76,0.4,0.1333333,0.1578947,0.1859649
0,77,0.25,0.0625,0.48,0.2433333
