Generation,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,SumOfSpaceFitnessScore,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,SumOfGameObjectFitnessScore
0.0,0.249547648,0.1821034769,0.3249684381,0.1690239746,0.3635483807,0.0,0.1525,0.0,0.0208750004,0.0,0.0259523809,0.063391123938
1.0,0.285546155,0.2350331338,0.630905239,0.288646123,0.586451598,0.0,0.10125,0.0,0.0113541677,0.0,0.0066666665,0.157949133
2.0,0.272958079,0.2043114799,0.787247804,0.330519762,0.61451612,0.0,0.04625,0.0,0.0081250004,0.0,0.017142857,0.18671372
3.0,0.269219655,0.2068708896,0.861387015,0.356085982,0.629354829,0.0,0.0175,0.0,0.010208334,0.0,0.0,0.200548858
4.0,0.300879536,0.218881273,0.900019949,0.372967076,0.63677419,0.0,0.00375,0.0,0.0067708338,0.0,0.0,0.20875115
5.0,0.273006722,0.239569429,0.909784996,0.383118151,0.644838715,0.0,0.00375,0.0,0.0046875003,0.0,0.0,0.21213377
6.0,0.281961966,0.271378057,0.913009042,0.394795706,0.655161308,0.0,0.0,0.0,0.0050000004,0.0,0.0,0.216720468
7.0,0.197892552,0.298580763,0.91334056,0.403973793,0.658709697,0.0,0.0,0.0,0.0016666668,0.0,0.0,0.219014375
8.0,0.211967373,0.326981406,0.921093794,0.416025084,0.667741959,0.0,0.0,0.0,0.0033333336,0.0,0.0,0.221469571
9.0,0.220196699,0.362536374,0.921744184,0.428093551,0.68193551,0.0,0.0,0.0,0.004166667,0.0,0.0,0.225922969
10.0,0.204272706,0.392105066,0.915354674,0.435819953,0.688064546,0.0,0.0,0.0,0.0,0.0,0.0,0.229354864
11.0,0.157980721,0.40151308,0.935134772,0.44554929,0.69451615,0.0,0.0,0.0,0.0,0.0,0.0,0.231505388
12.0,0.153515877,0.432831061,0.934972369,0.455934486,0.703870974,0.0,0.0,0.0,0.0,0.0,0.0,0.234623646
13.0,0.141492825,0.498678375,0.913781133,0.47081987,0.715483862,0.0,0.0,0.0,0.0,0.0,0.0,0.23849459
14.0,0.115100198,0.537141312,0.898271278,0.478470914,0.719677411,0.0,0.0,0.0,0.0,0.0,0.0,0.239892437
15.0,0.098274162,0.545916217,0.903584652,0.483166985,0.725161288,0.0,0.0,0.0,0.0,0.0,0.0,0.241720396
16.0,0.059051138,0.56038963,0.91542359,0.491937751,0.732580651,0.0,0.0,0.0,0.0,0.0,0.0,0.244193517
17.0,0.045960334,0.572878311,0.935638458,0.502838926,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
18.0,0.069155954,0.572105263,0.958293778,0.51013301,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
19.0,0.041236633,0.597485853,0.948066221,0.515184008,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
20.0,0.047997308,0.622952377,0.936088885,0.519680394,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
21.0,0.03754744,0.642901231,0.925712423,0.522871188,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
22.0,0.051454059,0.647141,0.944026142,0.530389024,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
23.0,0.00125,0.699432684,0.920661765,0.540031463,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
24.0,0.00125,0.663182792,0.979411765,0.547531525,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
25.0,0.0,0.667670028,0.998660714,0.555443591,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
26.0,0.001290323,0.700483189,0.997321428,0.565934897,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
27.0,0.0,0.713221339,0.997142856,0.570121431,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
28.0,0.0,0.725263613,0.987857138,0.571040279,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
29.0,0.0,0.754071186,0.965714272,0.573261842,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
30.0,0.0,0.794509837,0.936428546,0.576979468,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
31.0,0.0,0.791666662,0.944285692,0.578650801,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
32.0,0.0,0.779865579,0.967142844,0.582336133,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
33.0,0.0,0.761715033,1.0,0.587238301,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
34.0,0.0,0.7741935,1.0,0.5913978,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
35.0,0.0,0.7741935,1.0,0.5913978,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
36.0,0.0,0.7741935,1.0,0.5913978,0.7419355,0.0,0.0,0.0,0.0,0.0,0.0,0.2473118
