Generation,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,SumOfSpaceFitnessScore,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,SumOfGameObjectFitnessScore
0.0,0.2704964608,0.17940169753,0.38510249695,0.2043593429,0.25062720754,0.0,0.089,0.0,0.04488958363,0.0,0.02451228296,0.0389125416333
1.0,0.361222301,0.1611558746,0.7226311685,0.3399293821,0.3555525709,0.0,0.035375,0.0,0.0217684527,0.0,0.01541343695,0.09946970591
2.0,0.4028260766,0.14287638665,0.8334012558,0.3909261061,0.3933249428,0.0,0.019875,0.0,0.01630238124,0.0,0.00966949104,0.11904918775
3.0,0.408087535,0.14766022192,0.8657711721,0.4157165093,0.4264414638,0.0,0.01675,0.0,0.01721398848,0.0,0.0100544766,0.13082582654
4.0,0.4294713587,0.15006420398,0.8988914665,0.4301875286,0.4417953491,0.0,0.008,0.0,0.0151354169,0.0,0.0074142875,0.13955330954
5.0,0.4317222937,0.15280293473,0.9107994201,0.4399921294,0.4503357804,0.0,0.001125,0.0,0.010744643,0.0,0.0034128855,0.14615537408
6.0,0.43658450104,0.15914265444,0.9173792153,0.4493976734,0.4613572245,0.0,0.001,0.0,0.0084214287,0.0,0.0019741616,0.1506452623
7.0,0.441634846,0.16682210312,0.9220894121,0.457637707,0.4689862645,0.0,0.001125,0.0,0.00716309544,0.0,0.000942809,0.153566055
8.0,0.4592145494,0.17330454222,0.9347068752,0.4670886843,0.4767300318,0.0,0.0,0.0,0.00766339313,0.0,0.0013687266,0.1563555443
9.0,0.4802995562,0.17398861415,0.9450428602,0.474235867,0.4827675031,0.0,0.0,0.0,0.00533824419,0.0,0.0023055904,0.1591430831
10.0,0.4872110853,0.1788243105,0.9490960768,0.4808742986,0.4887165101,0.0,0.0,0.0,0.0050333335,0.0,0.0009084533,0.1612277159
11.0,0.4896926396,0.1841620413,0.9505785,0.485998372,0.4942330971,0.0,0.0,0.0,0.00531041686,0.0,0.0009084533,0.1629742126
