Generation,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,SumOfSpaceFitnessScore,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,SumOfGameObjectFitnessScore
0.0,0.242487625,0.1853424076,0.3092208874,0.1839028441,0.20325,0.316666665,0.05375,0.24,0.057574407,0.111845237,0.0636301991,0.253305557
1.0,0.40630082,0.0941760947,0.6715372,0.359279345,0.25925,0.1438888826,0.05125,1.0,0.0867723268,0.0,0.0628109302,0.467712964
2.0,0.435689748,0.0806149572,0.836425907,0.424038555,0.27575,0.227222218,0.0875,1.0,0.0867053645,0.0,0.0938490584,0.500990742
3.0,0.507425036,0.0946034736,0.850225833,0.452550297,0.2935,0.2911111,0.11625,1.0,0.0963720256,0.0,0.1161338394,0.528203722
4.0,0.560144141,0.0849976658,0.889593561,0.483245914,0.30575,0.354444427,0.14625,1.0,0.0964493989,0.0,0.1567715655,0.553398155
5.0,0.588935235,0.0901396779,0.907946051,0.498960441,0.30625,0.407777764,0.17,1.0,0.1118497001,0.0,0.1737061027,0.57134259
6.0,0.611272032,0.084218203,0.930765105,0.514012379,0.3055,0.443888873,0.20125,1.0,0.1108482129,0.0,0.1734773368,0.58312963
7.0,0.630872574,0.0863830878,0.94713961,0.526004066,0.303,0.470555532,0.21,1.0,0.1143705358,0.0,0.1970857043,0.591185191
8.0,0.653853648,0.0641028001,0.961415618,0.538423105,0.30625,0.482777764,0.21875,1.0,0.1291071411,0.0,0.1939014324,0.596342591
9.0,0.667239284,0.0665321919,0.98482738,0.550688909,0.30225,0.493333328,0.24,1.0,0.1439300601,0.0,0.1934353521,0.598527778
10.0,0.687849119,0.0656806922,0.994077379,0.560642181,0.30725,0.499444444,0.24875,1.0,0.1408437492,0.0,0.2017644494,0.602231475
11.0,0.72523881,0.0628712895,0.992620098,0.572619646,0.30875,0.5,0.24375,1.0,0.1474642848,0.0,0.2057664731,0.602916657
12.0,0.747620845,0.0583518027,0.999285714,0.582302189,0.311,0.5,0.245,1.0,0.1492455326,0.0,0.2042901719,0.603666654
13.0,0.772435743,0.0490695798,1.0,0.590811897,0.3135,0.5,0.2325,1.0,0.1526741046,0.0,0.1992545341,0.604499984
14.0,0.795406097,0.0394340042,1.0,0.598468678,0.3175,0.5,0.21125,1.0,0.1579553535,0.0,0.1947271062,0.605833313
15.0,0.815077196,0.0282353315,1.0,0.605025728,0.31925,0.5,0.2075,1.0,0.1591324373,0.0,0.1929179602,0.606416644
16.0,0.83112583,0.016276738,1.0,0.610375276,0.3245,0.5,0.2125,1.0,0.1516904713,0.0,0.1859327343,0.608166637
17.0,0.843233164,0.0228280657,1.0,0.614411052,0.32625,0.5,0.21125,1.0,0.1501562453,0.0,0.1851913483,0.60874997
18.0,0.858388674,0.013994816,1.0,0.61946288,0.3265,0.5,0.21,1.0,0.1507499953,0.0,0.1860124763,0.608833304
19.0,0.874875422,0.0194337065,1.0,0.62495847,0.3265,0.5,0.21,1.0,0.1507499953,0.0,0.1860124763,0.608833304
20.0,0.894796893,0.0266571039,1.0,0.631598988,0.32675,0.5,0.20875,1.0,0.1499642813,0.0,0.1847384388,0.608916638
21.0,0.909480652,0.0203352473,1.0,0.636493576,0.32725,0.5,0.2025,1.0,0.1501205316,0.0,0.1850083298,0.609083306
22.0,0.915042773,0.0183006153,1.0,0.638347606,0.328,0.5,0.195,1.0,0.1508616036,0.0,0.1885180128,0.609333308
23.0,0.9254748,0.0109513752,1.0,0.641824915,0.329,0.5,0.185,1.0,0.1532410693,0.0,0.1872202338,0.609666644
24.0,0.934775563,0.0037209304,1.0,0.644925179,0.33075,0.5,0.17375,1.0,0.1547232129,0.0,0.1858817597,0.610249982
25.0,0.941081545,0.0074418608,1.0,0.647027193,0.3315,0.5,0.17125,1.0,0.1546607132,0.0,0.1887693757,0.610499984
26.0,0.952588311,0.0,1.0,0.650862771,0.33275,0.5,0.16625,1.0,0.1540758925,0.0,0.1904989477,0.610916654
27.0,0.955944352,0.0,1.0,0.651981453,0.33525,0.5,0.15625,1.0,0.1523482158,0.0,0.1959469077,0.611749994
28.0,0.962926087,0.0,1.0,0.654308704,0.33775,0.5,0.13875,1.0,0.1484776811,0.0,0.191156259,0.612583334
29.0,0.976480931,0.0,1.0,0.658826982,0.3425,0.5,0.12875,1.0,0.1385044677,0.0,0.1950372482,0.61416668
30.0,0.979541262,0.0,1.0,0.659847091,0.3475,0.5,0.11875,1.0,0.1346428617,0.0,0.2011220255,0.61583336
31.0,0.982003506,0.0,1.0,0.660667841,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
32.0,0.990110332,0.0,1.0,0.663370124,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
33.0,1.0,0.0,1.0,0.6666667,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
34.0,1.0,0.0,1.0,0.6666667,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
35.0,1.0,0.0,1.0,0.6666667,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
36.0,1.0,0.0,1.0,0.6666667,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
37.0,1.0,0.0,1.0,0.6666667,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
38.0,1.0,0.0,1.0,0.6666667,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
39.0,1.0,0.0,1.0,0.6666667,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
40.0,1.0,0.0,1.0,0.6666667,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
41.0,1.0,0.0,1.0,0.6666667,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
42.0,1.0,0.0,1.0,0.6666667,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
43.0,1.0,0.0,1.0,0.6666667,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
44.0,1.0,0.0,1.0,0.6666667,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
45.0,1.0,0.0,1.0,0.6666667,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
46.0,1.0,0.0,1.0,0.6666667,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
47.0,1.0,0.0,1.0,0.6666667,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
48.0,1.0,0.0,1.0,0.6666667,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
49.0,1.0,0.0,1.0,0.6666667,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
50.0,1.0,0.0,1.0,0.6666667,0.35,0.5,0.12,1.0,0.1281562553,0.0,0.1971141672,0.6166667
