Generation,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,SumOfSpaceFitnessScore,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,SumOfGameObjectFitnessScore
0.0,0.2642898438,0.18146785728,0.36986364617,0.23038344648,0.19999884336,0.3017227185,0.0655,0.173,0.05152916749,0.0996999992,0.04720854427,0.22490718926
1.0,0.4002278722,0.13983211645,0.6798057013,0.3761188809,0.26983671848,0.20005555288,0.095,0.788,0.07153318583,0.0449249998,0.07556859167,0.4192974315
2.0,0.4690470405,0.11506948585,0.8115393062,0.442075403,0.29657471804,0.19277776958,0.124375,1.0,0.09037946575,0.0,0.088548123,0.4964508354
3.0,0.5376462501,0.09331824182,0.8654917091,0.4827502612,0.30915506158,0.26705554486,0.159,1.0,0.10609419726,0.0,0.11924022623,0.5254035488
4.0,0.5736455674,0.08812224205,0.8988977028,0.507341703,0.316585655,0.3078333218,0.175375,1.0,0.11776800481,0.0,0.13886283131,0.5414730075
5.0,0.6043323055,0.08898317468,0.9170907684,0.5243255564,0.3162522869,0.3563333224,0.19725,1.0,0.12978065468,0.0,0.15300384329,0.55752855
6.0,0.6364094091,0.08253133457,0.9336434065,0.5400803779,0.3182161099,0.3884999842,0.20975,1.0,0.13809077384,0.0,0.16709405438,0.5689053839
7.0,0.6599288514,0.08288371317,0.9451591613,0.5522127585,0.3158227249,0.4202777602,0.21575,1.0,0.14255163639,0.0,0.1737486948,0.5787001774
8.0,0.686127358,0.07648858561,0.9556756138,0.5635162312,0.3215186355,0.4367777631,0.219875,1.0,0.15253110037,0.0,0.17308753773,0.5860988095
9.0,0.7050640095,0.0764685407,0.9684008625,0.573781774,0.3233396018,0.4556110972,0.232625,1.0,0.15474047541,0.0,0.17968372966,0.5929835744
10.0,0.724188607,0.07654268826,0.9735918413,0.582198967,0.3248269364,0.4684444328,0.240125,1.0,0.15140699297,0.0,0.18837330041,0.5977571295
11.0,0.7498855505,0.07749675301,0.9767065254,0.5923951668,0.3293083676,0.4762777675,0.240875,1.0,0.15455565379,0.0,0.18868306455,0.6018620505
12.0,0.7658639547,0.0748807995,0.9820461241,0.6006629835,0.3298786518,0.486333324,0.24425,1.0,0.15961473057,0.0,0.19659872252,0.6054039965
13.0,0.7881195022,0.06422668448,0.9872880473,0.6079916745,0.3353575372,0.4879444368,0.25,1.0,0.16041368851,0.0,0.19325872694,0.6077673301
14.0,0.8042604594,0.0660879695,0.9857125259,0.6145700007,0.3376200818,0.4932222168,0.25425,1.0,0.16359746853,0.0,0.19184505965,0.6102807705
15.0,0.8159554729,0.06395779797,0.992066549,0.6207150233,0.3405094874,0.4953333296,0.257625,1.0,0.15950371853,0.0,0.19425296728,0.611947609
16.0,0.8312306572,0.05934633622,0.992667599,0.6254457422,0.3429535723,0.4965555528,0.2545,1.0,0.1596016356,0.0,0.18830878788,0.6131697118
17.0,0.8470662338,0.05638638121,0.9931801879,0.6293535581,0.3452939016,0.4976666648,0.2555,1.0,0.15803377901,0.0,0.18896856063,0.6143201938
18.0,0.8570798768,0.05517478045,0.9932650347,0.6329819332,0.3474618964,0.4982777764,0.258875,1.0,0.15555133842,0.0,0.18385273516,0.6152465636
19.0,0.8687227019,0.0541711099,0.9934898991,0.6367891456,0.3487674534,0.4987777768,0.259625,1.0,0.15683690413,0.0,0.18141315951,0.6158484154
20.0,0.8832453223,0.04831246148,0.9965,0.6406048907,0.3503667341,0.499444444,0.259125,1.0,0.15758839215,0.0,0.18226966368,0.6166037317
21.0,0.8945298871,0.04319307731,0.9999,0.6436663299,0.350806615,0.5,0.26025,1.0,0.15814330314,0.0,0.18177597387,0.6169355449
22.0,0.9025999785,0.04226225137,0.9999,0.6461620135,0.3515107809,0.5,0.259,1.0,0.1574275293,0.0,0.18194413849,0.6171702673
