Generation,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,SumOfSpaceFitnessScore,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,SumOfGameObjectFitnessScore
0.0,0.239180813,0.1915022931,0.3712781251,0.2813902155,0.24875,0.1247222216,0.08,0.18,0.0357291676,0.082500001,0.0316666659,0.1422395874
1.0,0.270852123,0.2167681559,0.634784325,0.425776256,0.35,0.091111111,0.105,0.25,0.0864583379,0.096666667,0.0292857124,0.218229171
2.0,0.299774851,0.2021491292,0.818009498,0.510079315,0.3540625,0.075277779,0.10375,0.26,0.1382291714,0.05,0.0223809526,0.246145843
3.0,0.322807019,0.2283638214,0.868643605,0.548503707,0.339375,0.0783333362,0.09125,0.35,0.1966666736,0.0,0.058095239,0.268020828
4.0,0.316393246,0.234033067,0.90727204,0.570652556,0.3321875,0.1019444478,0.0925,0.39,0.259479182,0.01,0.0642857157,0.295833318
5.0,0.349228834,0.223314548,0.956780401,0.590047488,0.315625,0.1080555622,0.09625,0.3,0.307395856,0.014166667,0.071904762,0.311510394
6.0,0.341134018,0.263094656,0.949415202,0.606254943,0.318125,0.1091666718,0.0825,0.34,0.325000014,0.0125,0.076666667,0.321562486
7.0,0.267288393,0.312276787,0.922248531,0.617262668,0.319375,0.1063888922,0.05375,0.3,0.360208332,0.015,0.0676190485,0.339791668
8.0,0.272963498,0.33922495,0.933188904,0.636206919,0.3171875,0.1144444492,0.08,0.27,0.399895841,0.01,0.08952381,0.358541659
9.0,0.286610775,0.361182831,0.941271745,0.651227276,0.3128125,0.133888894,0.0925,0.25,0.437916676,0.0075,0.1126190505,0.375364575
10.0,0.292972964,0.384655377,0.940233215,0.662444285,0.3128125,0.145833335,0.09125,0.16,0.457395817,0.021666667,0.16333334,0.385104184
11.0,0.229458097,0.401311813,0.942079336,0.671695593,0.3125,0.153333333,0.09125,0.13,0.475104149,0.021666667,0.179047626,0.393802104
12.0,0.232257998,0.403962221,0.955448091,0.679705149,0.3125,0.1649999996,0.08125,0.14,0.490104162,0.015,0.174047624,0.401302093
13.0,0.264171919,0.441061853,0.944805979,0.69293392,0.3125,0.1477777772,0.05875,0.2,0.519479189,0.0225,0.135238097,0.415989573
14.0,0.230582321,0.457094075,0.946043725,0.70156889,0.3125,0.1366666648,0.03375,0.13,0.543333372,0.03,0.149523812,0.427916644
15.0,0.214199658,0.476907182,0.937048039,0.706977587,0.3125,0.1336111098,0.035,0.14,0.543958374,0.03,0.1483333355,0.428229148
16.0,0.157016009,0.485648764,0.94528938,0.715469038,0.3125,0.1316666658,0.04125,0.15,0.545520879,0.0225,0.148809526,0.429010408
17.0,0.17609878,0.511618452,0.937207675,0.724413063,0.3125,0.1366666666,0.0475,0.14,0.549270888,0.0075,0.1407142887,0.430885426
18.0,0.167843098,0.5339559,0.933994073,0.73397499,0.3125,0.138611112,0.0425,0.18,0.553750066,0.006666667,0.1309523861,0.433125032
19.0,0.183533158,0.548981318,0.937329299,0.743155305,0.3125,0.137222223,0.0425,0.19,0.554583399,0.006666667,0.1300000051,0.433541698
20.0,0.178466574,0.581618376,0.934918762,0.758268597,0.3125,0.137222223,0.0425,0.19,0.554583399,0.006666667,0.1300000051,0.433541698
21.0,0.16824834,0.607558661,0.936040032,0.77179938,0.3125,0.135555556,0.04,0.18,0.557083398,0.006666667,0.1314285766,0.434791696
22.0,0.140964398,0.632335884,0.93874942,0.785542678,0.3125,0.135555556,0.03875,0.18,0.557916731,0.006666667,0.1316666719,0.435208362
23.0,0.087921328,0.657491728,0.94099895,0.799245374,0.3125,0.135555556,0.03875,0.18,0.559583397,0.006666667,0.1297619099,0.436041694
24.0,0.050780938,0.670391644,0.944378874,0.807385285,0.3125,0.138055556,0.03625,0.2,0.564583395,0.0,0.1278571482,0.43854169
25.0,0.042559875,0.693126113,0.945369557,0.819247844,0.3125,0.135833334,0.035,0.18,0.569583393,0.0,0.1276190532,0.441041686
26.0,0.0,0.721484967,0.943958292,0.832721634,0.3125,0.136388889,0.03375,0.18,0.573750058,0.0,0.1240476247,0.443125016
27.0,0.0,0.724703927,0.943888852,0.834296399,0.3125,0.133333334,0.02875,0.2,0.587083386,0.0,0.115714291,0.449791672
28.0,0.0,0.732461313,0.942138859,0.837300103,0.3125,0.127777778,0.025,0.21,0.600416714,0.0,0.107857148,0.456458328
29.0,0.0,0.749095338,0.940717308,0.844906359,0.3125,0.128055555,0.0125,0.21,0.623750038,0.0,0.094285719,0.468124976
30.0,0.0,0.774405195,0.9375,0.855952646,0.3125,0.135277776,0.0,0.24,0.6354167,0.0,0.0952381,0.4739583
31.0,0.0,0.774687455,0.9375,0.856093774,0.3125,0.135277776,0.0,0.24,0.6354167,0.0,0.0952381,0.4739583
32.0,0.0,0.7756048,0.9375,0.85655244,0.3125,0.135277776,0.0,0.24,0.6354167,0.0,0.0952381,0.4739583
33.0,0.0,0.776945535,0.9375,0.857222798,0.3125,0.135277776,0.0,0.24,0.6354167,0.0,0.0952381,0.4739583
