Generation,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,SumOfSpaceFitnessScore,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,SumOfGameObjectFitnessScore
0.0,0.2617130501,0.17508156664,0.37376718617,0.27442437935,0.30056474531,0.11133333246,0.113,0.131,0.03038125122,0.0384000007,0.02188095161,0.19281093471
1.0,0.3022432253,0.18461747417,0.6893985817,0.4370080318,0.4839987593,0.08802777682,0.227625,0.22,0.0670645862,0.0470000007,0.03473809229,0.3412476178
2.0,0.3195186766,0.19507832317,0.8132419125,0.5041601271,0.5226858995,0.07174999924,0.277,0.221,0.08987291957,0.0288333337,0.04288094899,0.3924513385
3.0,0.3175419756,0.21834375206,0.8522977761,0.5353207689,0.5379102182,0.0691111106,0.309875,0.23,0.10522708668,0.0219166669,0.05469047184,0.4264590864
4.0,0.3484279666,0.22490611385,0.8948303012,0.5598682135,0.5529773725,0.08366666652,0.342,0.213,0.12566875833,0.0292333336,0.0569999962,0.4535569979
5.0,0.3213876517,0.24804807306,0.911566299,0.5798072006,0.554410984,0.08663888856,0.35425,0.206,0.13240000713,0.0301666669,0.05878571042,0.4684518926
6.0,0.2999759076,0.2748961823,0.9195025824,0.5971993881,0.5575163987,0.09399999868,0.36225,0.218,0.13895208761,0.0331500003,0.06780951814,0.4805882566
7.0,0.2689755525,0.30907991422,0.9139249741,0.6115024507,0.5650269135,0.09544444332,0.366875,0.229,0.14275000228,0.0444666673,0.07157142323,0.4907840176
8.0,0.2441921672,0.3379070096,0.9166480447,0.6272775234,0.5665481282,0.09722222112,0.37975,0.232,0.14635416856,0.0486666673,0.07938094592,0.5001812964
9.0,0.2292405831,0.3767012143,0.9078352683,0.6422682409,0.5698971385,0.09869444362,0.383875,0.24,0.1539875021,0.0452166674,0.0809047552,0.508130973
10.0,0.216629637,0.4050466676,0.9038859365,0.6544663077,0.5778785874,0.10094444324,0.3775,0.236,0.16111250028,0.0380666672,0.07592856658,0.5148698925
11.0,0.2053236486,0.4159941697,0.917014237,0.6665042105,0.5851762167,0.09194444308,0.380875,0.251,0.16602916592,0.0275666671,0.07302380492,0.5206891122
12.0,0.1916371386,0.4333711064,0.9224060999,0.6778886048,0.5849448235,0.09127777644,0.37925,0.261,0.17338124848,0.0235500004,0.07880951791,0.524491937
13.0,0.1768447413,0.448303619,0.9351620752,0.6917328438,0.5860850354,0.0908055541,0.37625,0.275,0.17808750168,0.0250666671,0.0789047549,0.5274097904
14.0,0.1609925511,0.4777917661,0.9328849969,0.7053383784,0.5878761316,0.09036110926,0.37475,0.266,0.18311667208,0.0254166671,0.08157142101,0.5308145451
15.0,0.134148865,0.4980251745,0.9352912775,0.7166582217,0.5883835757,0.09297222028,0.376375,0.264,0.18668334088,0.0231500003,0.08480951546,0.5328354725
