Generation,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,SumOfSpaceFitnessScore,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,SumOfGameObjectFitnessScore
0.0,0.255127274,0.1764957305,0.3507341789,0.2019538184,0.2102325656,0.2694444446,0.08125,0.24,0.0538616071,0.085333334,0.0207997151,0.2398385026
1.0,0.449975758,0.0942400093,0.755115899,0.401697222,0.2553488443,0.397777773,0.1275,0.02,0.0746875011,0.107083334,0.0270426872,0.326563293
2.0,0.532376937,0.0911177101,0.827367755,0.453248239,0.27046512,0.461111107,0.135,0.0,0.0813139899,0.123833329,0.0192232649,0.365788115
3.0,0.582792443,0.0900130412,0.824902312,0.469231596,0.300697683,0.494444446,0.165,0.0,0.0908541686,0.14816666,0.0186604255,0.397571065
4.0,0.594647402,0.0665010658,0.847197925,0.480615118,0.306046504,0.532222245,0.18125,0.0,0.137343754,0.123333327,0.0292375013,0.419134385
5.0,0.620697738,0.0558078438,0.870576818,0.497091532,0.335581385,0.526666674,0.195,0.0,0.171724704,0.138999998,0.0515088189,0.431124029
6.0,0.636620738,0.0606636194,0.899060056,0.511893614,0.316976742,0.57444448,0.22,0.0,0.142043155,0.066666666,0.06766125,0.445710609
7.0,0.653438442,0.0586819372,0.925133953,0.526190814,0.32255814,0.597777819,0.2125,0.0,0.1385386886,0.105833331,0.0773551467,0.460167972
8.0,0.682185185,0.0631863227,0.931774012,0.53798641,0.326046509,0.618888924,0.21,0.0,0.1452217256,0.097499998,0.0902499092,0.472467703
9.0,0.712367704,0.0607042786,0.937347657,0.549905128,0.34046511,0.623888921,0.24625,0.0,0.155456847,0.145666664,0.1065977227,0.482176996
10.0,0.743194241,0.0744981693,0.942232559,0.561808943,0.346046502,0.627222253,0.2525,0.0,0.1624494074,0.132333333,0.1216201247,0.486634363
11.0,0.769643116,0.0690036189,0.941982852,0.570542001,0.327906976,0.663333334,0.27,0.0,0.1357351238,0.074999998,0.1131756488,0.495620136
12.0,0.777146661,0.0619772612,0.960072793,0.57907315,0.325116278,0.686111096,0.2525,0.0,0.1276264895,0.09083333,0.1110798666,0.505613683
13.0,0.770614222,0.0714197342,0.994924244,0.588512799,0.332790698,0.703333312,0.2475,0.0,0.1241175588,0.097499998,0.1195712882,0.518062013
14.0,0.783281437,0.0698652217,1.0,0.594427124,0.330465118,0.71666664,0.26,0.0,0.1207306551,0.071666664,0.1171759975,0.523565879
15.0,0.798088995,0.0662494138,1.0,0.599362984,0.336279068,0.729444428,0.27,0.0,0.1340386942,0.112619043,0.1091918778,0.532861748
16.0,0.811274784,0.0662346136,1.0,0.603758262,0.352558128,0.723333312,0.295,0.0,0.1603363117,0.157738091,0.1226083786,0.53794572
