Generation,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,SumOfSpaceFitnessScore,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,SumOfGameObjectFitnessScore
0.0,0.2621055784,0.18415387348,0.37343463088,0.18127661157,0.25967991627,0.2468611104,0.0945,0.217,0.04060878009,0.104021429,0.0171857767,0.25327051327
1.0,0.3598937092,0.16236774484,0.747591621,0.3206523637,0.35945722127,0.33522222012,0.151375,0.056,0.05110431552,0.1646369052,0.0242000055,0.3473397222
2.0,0.40451610987,0.14707119329,0.8655027154,0.3696375749,0.39701271802,0.3869722212,0.16275,0.007,0.06265744129,0.2097071413,0.03233196335,0.3919924763
3.0,0.42808420528,0.14580285574,0.8988646866,0.3905841928,0.4248828079,0.4229722251,0.179875,0.009,0.07065565631,0.250985713,0.03895997979,0.4239275191
4.0,0.44884174091,0.1484937554,0.9132844334,0.4040607587,0.4331520659,0.4698055621,0.195375,0.005,0.07609345475,0.3060261868,0.04647172398,0.4514788138
5.0,0.4290024824,0.1674346846,0.9298673711,0.4145115139,0.4449818374,0.499333339,0.2145,0.006,0.08277783035,0.3697428546,0.05108041885,0.4721575904
6.0,0.4102327031,0.17314004058,0.9417088786,0.4241705415,0.4516271483,0.5250000127,0.229875,0.002,0.08636711464,0.3669047599,0.05634704721,0.4883135811
7.0,0.3982232109,0.19072403517,0.9416095756,0.4327896716,0.4552583212,0.5524444598,0.236375,0.0,0.08832619148,0.3709833312,0.06209461943,0.503851391
8.0,0.4035096995,0.20246335268,0.940947759,0.4395487161,0.4591962509,0.5758333459,0.238625,0.0,0.09002872184,0.3954499974,0.07356497486,0.5175147955
9.0,0.4014620522,0.2064564755,0.949460302,0.4458132073,0.4607520637,0.5991666812,0.24,0.0,0.09559494328,0.4291428558,0.07101253249,0.5299593647
10.0,0.4078156068,0.21691193378,0.9533355356,0.4523017882,0.4645677081,0.6154444514,0.241375,0.0,0.08954985443,0.438292857,0.07639719378,0.5400060729
11.0,0.4035028683,0.23279592174,0.9502571737,0.4581895197,0.4669762793,0.6311666635,0.239125,0.0,0.08811250336,0.415733333,0.0724839412,0.5490714698
12.0,0.408349614,0.2378404147,0.9576551191,0.4631402564,0.4691157998,0.6465555476,0.240375,0.0,0.09005372364,0.4480142849,0.0767234159,0.5578356778
13.0,0.4037030395,0.24971390062,0.957611719,0.468325633,0.4718572422,0.6594444334,0.245,0.0,0.09097842549,0.4452857136,0.07553454411,0.5656508433
14.0,0.3964634698,0.25942845124,0.9595912762,0.4731282375,0.4739653127,0.6701666539,0.258375,0.0,0.09291860372,0.4520166665,0.07461498601,0.5720659877
15.0,0.3909551776,0.26599943496,0.961214467,0.477387431,0.478811178,0.6791110981,0.264875,0.0,0.09707544872,0.4640857145,0.07565886314,0.5789611442
16.0,0.3932130814,0.27142347014,0.9639092201,0.481268955,0.4834279806,0.6848333181,0.257125,0.0,0.1047297635,0.4669619047,0.07876951659,0.5841306585
17.0,0.3970860433,0.27775310656,0.9648665285,0.4847751959,0.485129068,0.6898888759,0.25425,0.0,0.10748065653,0.4695619048,0.08105402654,0.5875089809
18.0,0.3981092178,0.27743911695,0.9689252339,0.4885834793,0.4843735856,0.6957777673,0.256375,0.0,0.1078401802,0.4689619044,0.08305115538,0.5900756848
19.0,0.4060825357,0.28281340123,0.9684145028,0.4919076119,0.4848926661,0.699722212,0.25975,0.0,0.1056672635,0.459928571,0.08443093714,0.5923074467
20.0,0.4110778451,0.28585817669,0.966495419,0.4943990541,0.4857858619,0.7048333241,0.265625,0.0,0.10658363273,0.4493071421,0.08789229518,0.5953095994
21.0,0.4135080707,0.28695814302,0.9700233979,0.4967314989,0.4871941425,0.7076111029,0.266875,0.0,0.10589806724,0.4405857132,0.0884210928,0.5974026282
22.0,0.4149532282,0.2881485468,0.9724830187,0.4996327805,0.4899672225,0.7093333262,0.267,0.0,0.10478913871,0.43107857,0.08965743064,0.5996502778
23.0,0.4190098219,0.28665861232,0.9790329001,0.502208698,0.4922144326,0.7115555482,0.267625,0.0,0.1044997044,0.4260285698,0.09046674937,0.6018849933
24.0,0.4225810647,0.2845512769,0.9841578299,0.5041027675,0.4928629969,0.7163333219,0.263,0.0,0.10623541879,0.4235309505,0.08965930546,0.6045981641
25.0,0.420241076,0.28654121458,0.9853910172,0.5060135227,0.4940193706,0.7200555413,0.261,0.0,0.10431012087,0.4224642837,0.08898283848,0.6070374597
26.0,0.4210742498,0.29120769052,0.9839982011,0.5081260759,0.4960853008,0.7204999856,0.254,0.0,0.10551518031,0.4126428551,0.08617391184,0.6082926467
27.0,0.4191984091,0.29126455906,0.9863784221,0.509541302,0.4971325504,0.7222222087,0.252375,0.0,0.10524077542,0.4109095216,0.08524667587,0.6096773819
28.0,0.4250719352,0.29330691662,0.985219906,0.5106730924,0.4973880421,0.7244444322,0.25675,0.0,0.10324211478,0.4076095215,0.08582884747,0.6109162387
29.0,0.426041707,0.29776193532,0.9855304292,0.5121487101,0.4976030855,0.726444433,0.256875,0.0,0.10462083505,0.4060595214,0.08518469171,0.6120237596
30.0,0.4264437277,0.30012901738,0.9872825779,0.5136200131,0.4984269377,0.72972221,0.259625,0.0,0.10362172786,0.4050690451,0.08700894081,0.6140745719
31.0,0.4283251339,0.30247634032,0.9875690339,0.5150087672,0.4997578438,0.7337777651,0.265875,0.0,0.10225833491,0.4064904736,0.08890497115,0.6167678002
32.0,0.431298276,0.30572044136,0.9884684028,0.5163581554,0.5011762176,0.7351110993,0.26675,0.0,0.10155982311,0.4104404734,0.08991914333,0.6181436543
33.0,0.4289759697,0.3070562252,0.9899108144,0.5176725181,0.5040804723,0.7335555424,0.2655,0.0,0.10120937655,0.4119119019,0.08925210135,0.6188180029
34.0,0.4248046495,0.3071833292,0.9918956421,0.5187972289,0.5044625563,0.7342777652,0.268,0.0,0.10010997189,0.4100119017,0.08867078025,0.6193701563
35.0,0.4311772425,0.30553318616,0.9944511254,0.5200444045,0.5048957677,0.735555544,0.27175,0.0,0.09940565635,0.4128928539,0.08917064952,0.6202256517
36.0,0.4345937133,0.30425175024,0.9984999994,0.521391336,0.5055958928,0.7365555448,0.278875,0.0,0.09603526975,0.4186904726,0.08918939838,0.6210757146
37.0,0.4339652827,0.30455624912,0.9993072477,0.5220078707,0.506405866,0.7367777672,0.28,0.0,0.09533303764,0.4182666631,0.08935904829,0.6215918126
38.0,0.4338475428,0.3063014057,0.9995714284,0.5228390241,0.5070188238,0.7372777676,0.28,0.0,0.09539851411,0.4142023775,0.08911077802,0.6221482921
39.0,0.433999967,0.30723599188,0.9996554621,0.5233565726,0.507722977,0.7375555456,0.2805,0.0,0.09447113325,0.4097595205,0.08944893956,0.6226392585
40.0,0.4328471723,0.30825539684,1.0,0.523810118,0.5082566494,0.7379999904,0.282125,0.0,0.09382321662,0.4054666635,0.08967039793,0.6231283176
41.0,0.4311254208,0.30978884482,0.9999375,0.524533043,0.5089391893,0.7388333244,0.283,0.0,0.09393720493,0.4034023777,0.08963820281,0.6238862551
42.0,0.4283058426,0.31172964902,0.9999375,0.5249213516,0.5094390342,0.7392777692,0.28275,0.0,0.09297797881,0.3957523777,0.0891473904,0.6243584001
43.0,0.4264228598,0.31300622836,0.9997610295,0.52526044,0.5102886469,0.739999992,0.283375,0.0,0.09300149104,0.3885142827,0.08833521386,0.6251443185
44.0,0.421428847,0.31327643492,0.999875,0.5254915781,0.5105206495,0.7406111036,0.283875,0.0,0.09252738434,0.3847761876,0.08822437177,0.6255658758
45.0,0.4208282034,0.31399388052,0.999875,0.5256324975,0.5107296829,0.7411666596,0.286625,0.0,0.09216071764,0.3851571401,0.08831845577,0.6259481708
46.0,0.4201129598,0.3151269922,0.999625,0.5259376671,0.5113094971,0.741944438,0.289,0.0,0.09099286074,0.3797761882,0.08950972525,0.6266269675
47.0,0.4192321138,0.3156042848,1.0,0.5262764279,0.511524483,0.7423333272,0.290125,0.0,0.09040893214,0.3757523789,0.09084310279,0.6269289051
48.0,0.419011945,0.315726329,1.0,0.5263657906,0.511461983,0.7427222164,0.29025,0.0,0.09034643214,0.3757523789,0.0907716743,0.6270920997
49.0,0.4191450322,0.31596075096,1.0,0.5263851454,0.5115171302,0.74305555,0.290375,0.0,0.09034643214,0.3757523789,0.09062881725,0.6272863401
50.0,0.4185133398,0.3157011675,1.0,0.526423855,0.5115116156,0.7434444392,0.290625,0.0,0.09040893214,0.3757523789,0.09058119819,0.6274780274
