Generation,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,SumOfSpaceFitnessScore,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,SumOfGameObjectFitnessScore
0.0,0.276533311,0.1785246475,0.4079567688,0.2281633585,0.189,0.1444444442,0.0925,0.07,0.0508660726,0.050083333,0.0613310435,0.02674124371
1.0,0.434705684,0.1160111268,0.734066924,0.38959087,0.2408,0.1263888898,0.07875,0.1,0.0472738087,0.072833333,0.382669592,0.1243614477
2.0,0.511074064,0.0823549218,0.878034013,0.46303604,0.212,0.1347222212,0.09375,0.11,0.0597500028,0.026107142,0.894752519,0.238313133
3.0,0.540093786,0.0643540267,0.935988531,0.492027454,0.2588,0.1011111112,0.05125,0.15,0.0931071482,0.06088095,0.982965593,0.274352142
4.0,0.577728248,0.0700808657,0.936530036,0.504752773,0.264,0.125277777,0.00125,0.16,0.0825000066,0.07378571,1.0,0.295062533
5.0,0.584080306,0.0432548819,0.95788499,0.513988441,0.2678,0.118055555,0.00125,0.16,0.0758333394,0.059880949,1.0,0.297679197
6.0,0.605385746,0.0340686098,0.963534271,0.522973343,0.272,0.108055554,0.0025,0.18,0.0658333386,0.052738093,1.0,0.300916693
7.0,0.650892007,0.0344470969,0.968276512,0.539722836,0.283,0.123611109,0.005,0.13,0.0491666706,0.087452381,1.0,0.307208353
8.0,0.672785319,0.0265600454,0.984586466,0.552457266,0.2722,0.1411111086,0.0,0.14,0.0271666688,0.083869047,1.0,0.311258344
9.0,0.688214955,0.0050543738,0.994031862,0.560748963,0.2914,0.1152777756,0.0,0.16,0.0360000028,0.087738094,1.0,0.313850014
10.0,0.713295145,0.0085865716,0.991203431,0.568166198,0.3124,0.135555554,0.0,0.12,0.0466666704,0.096690474,1.0,0.316433352
11.0,0.734689601,0.0031475253,1.0,0.57822986,0.299,0.141944442,0.0,0.11,0.0283333356,0.090095235,1.0,0.317666678
12.0,0.750511353,0.0034007866,1.0,0.58350377,0.2828,0.1311111086,0.0,0.13,0.0,0.090761902,1.0,0.3207
13.0,0.766614292,0.0043719935,1.0,0.588871425,0.294,0.1333333312,0.0,0.15,0.0,0.101023807,1.0,0.3235
14.0,0.78625104,0.0016411566,1.0,0.595417061,0.304,0.1399999976,0.0,0.18,0.0,0.095619045,1.0,0.326
15.0,0.805696924,0.0016500001,1.0,0.601898986,0.312,0.1391666646,0.0,0.21,0.0,0.084119045,1.0,0.328
16.0,0.825121724,0.0,1.0,0.608373919,0.3192,0.1297222202,0.0,0.22,0.0,0.090499999,1.0,0.3298
17.0,0.83712239,0.0,1.0,0.612374117,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
18.0,0.84882438,0.0,1.0,0.616274784,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
19.0,0.860513049,0.0,1.0,0.620171047,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
20.0,0.867266559,0.0,1.0,0.622422231,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
21.0,0.875823471,0.0,1.0,0.625274498,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
22.0,0.884875033,0.0,1.0,0.628291671,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
23.0,0.891389448,0.0004,1.0,0.630463122,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
24.0,0.90180608,0.0004,1.0,0.633935347,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
25.0,0.910527738,0.0,1.0,0.636842576,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
26.0,0.920995746,0.0,1.0,0.640331933,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
27.0,0.929177892,0.0,1.0,0.643059316,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
28.0,0.935794958,0.0,1.0,0.645264967,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
29.0,0.944549813,0.0,1.0,0.648183242,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
30.0,0.949489519,0.0,1.0,0.649829821,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
31.0,0.956997501,0.0,1.0,0.652332501,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
32.0,0.964792166,0.0,1.0,0.654930703,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
33.0,0.967277326,0.0,1.0,0.655759103,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
34.0,0.971862515,0.0,1.0,0.657287494,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
35.0,0.980815642,0.0,1.0,0.660271859,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
36.0,0.981853854,0.0,1.0,0.660617943,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
37.0,0.983000696,0.0,1.0,0.661000243,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
38.0,0.98537802,0.0,1.0,0.661792682,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
39.0,0.989999977,0.0,1.0,0.66333334,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
40.0,0.998771927,0.0,1.0,0.66625734,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
41.0,1.0,0.0,1.0,0.6666667,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
42.0,1.0,0.0,1.0,0.6666667,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
43.0,1.0,0.0,1.0,0.6666667,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
44.0,1.0,0.0,1.0,0.6666667,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
45.0,1.0,0.0,1.0,0.6666667,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
46.0,1.0,0.0,1.0,0.6666667,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
47.0,1.0,0.0,1.0,0.6666667,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
48.0,1.0,0.0,1.0,0.6666667,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
49.0,1.0,0.0,1.0,0.6666667,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
50.0,1.0,0.0,1.0,0.6666667,0.32,0.1358333312,0.0,0.23,0.0,0.104499999,1.0,0.33
