Generation,Fitness_RectangleQuality,Fitness_CorridorQuality,Fitness_ConnectedQuality,SumOfSpaceFitnessScore,Fitness_MainPathQuality,Fitness_Defense,Fitness_OnMainPath_EnemyTrap,Fitness_OnMainPath_Treasure,Fitness_BesideMainPath_EnemyTrap,Fitness_BesideMainPath_Treasure,Fitness_TwoPronged,SumOfGameObjectFitnessScore
0.0,0.2685470524,0.18057601092,0.36979207329,0.24907990114,0.22244836875,0.14194444334,0.07825,0.09,0.05085000082,0.0620785715,0.02700824888,0.0300891542925
1.0,0.406485274,0.14207058252,0.7178417963,0.4063081841,0.3188398276,0.12388888752,0.0535,0.151,0.04476294648,0.0885380954,0.11165421654,0.08305777576
2.0,0.4706292133,0.1181731616,0.8487474525,0.4686483091,0.3365891196,0.13513888756,0.0605,0.149,0.04944881017,0.0873083338,0.27373396195,0.12509357013
3.0,0.5320752433,0.11036958806,0.9019301309,0.5053361202,0.35091891325,0.12591666496,0.0575,0.189,0.05857663697,0.095104762,0.3949574586,0.15744993774
4.0,0.5577629268,0.10858448467,0.9346486398,0.5256646509,0.35587067207,0.13324999818,0.050625,0.187,0.05566339393,0.0962726188,0.4482362813,0.17445464476
5.0,0.5804733329,0.11068093391,0.9439516305,0.5382242798,0.35010393827,0.13036110988,0.04925,0.183,0.0607065495,0.0808738094,0.5315724528,0.19292996273
6.0,0.6061449478,0.11508208727,0.946528194,0.5495514901,0.353906252,0.13230555508,0.0615,0.189,0.05398839561,0.0917702387,0.6249537607,0.2158429037
7.0,0.6360284605,0.1168659388,0.9422883707,0.5594572392,0.3571828512,0.13105555544,0.072875,0.183,0.0509239605,0.0989142862,0.7055177163,0.234725404
8.0,0.6568524526,0.11946688756,0.9455807878,0.5696291377,0.3740221133,0.13305555466,0.06,0.177,0.04831845142,0.1055047621,0.7175081783,0.2458029685
9.0,0.6773602227,0.11304979243,0.9528175699,0.5779976082,0.3855734651,0.12691666566,0.05175,0.193,0.05548124895,0.1038095237,0.731525047,0.2524668301
10.0,0.696479728,0.10821656923,0.9617521697,0.5864602004,0.3952951668,0.12305555426,0.053,0.201,0.05435818239,0.1030071427,0.7411141457,0.2572627986
11.0,0.7160980342,0.10120771565,0.9705927372,0.5942622474,0.395632256,0.13116666516,0.05325,0.187,0.05158972933,0.1095559524,0.7571621105,0.261988668
12.0,0.7196824414,0.10947479606,0.9783584951,0.6009699928,0.3975310506,0.13261110962,0.041875,0.202,0.05388600906,0.1146011905,0.7609802482,0.2656875808
13.0,0.7296698102,0.11081687832,0.9877352144,0.6080445756,0.3949345536,0.13416666498,0.034125,0.198,0.05187380825,0.1119547617,0.7690051695,0.2694852365
14.0,0.7424093999,0.10787554715,0.9973538122,0.6149095817,0.3929567553,0.13527777614,0.033125,0.208,0.05155982234,0.1144690473,0.7820914711,0.2725908621
15.0,0.7560350596,0.11060675998,0.999136247,0.6209165603,0.3927228904,0.13469444276,0.035125,0.201,0.05456280019,0.1148904757,0.8001722139,0.2758018342
16.0,0.7735414747,0.10729728628,0.9999,0.6257430882,0.3952468761,0.13161110944,0.037,0.2,0.05508333712,0.1278571425,0.814530069,0.2794234113
17.0,0.7760252426,0.11624539342,1.0,0.6297397687,0.4003253526,0.1310277763,0.0345,0.214,0.0564651832,0.1298226187,0.8197879187,0.2822870325
18.0,0.7930215357,0.11002361765,1.0,0.6337594943,0.4084292966,0.1274444431,0.032625,0.217,0.0584958406,0.1289119046,0.8215073138,0.2847039535
19.0,0.7940300272,0.11804816166,1.0,0.6371347191,0.4103891198,0.12413888736,0.028,0.229,0.05678125858,0.1229821428,0.8269203953,0.2881320697
20.0,0.8024591433,0.11910695178,1.0,0.6404365703,0.4137735697,0.12472222038,0.02525,0.237,0.05314584072,0.1277452382,0.8239009738,0.2898196788
21.0,0.8142795504,0.11515518648,1.0,0.6431449159,0.414157779,0.12477777578,0.0245,0.244,0.04986458968,0.1309369048,0.8224066164,0.2905499571
22.0,0.8275411258,0.11179770095,1.0,0.6464462816,0.4141627612,0.12619444234,0.025,0.244,0.05087083918,0.1326059525,0.8269661508,0.2913145245
23.0,0.8297445722,0.11685460301,1.0,0.6488530623,0.4133698583,0.1254166647,0.026,0.249,0.051936017,0.1303726191,0.8348189251,0.2925631983
24.0,0.8361111251,0.1162699906,1.0,0.6507803775,0.4119317699,0.12447222036,0.027875,0.247,0.0521053619,0.1241035714,0.8445714455,0.2941307208
25.0,0.8430490483,0.11512526542,1.0,0.6527247834,0.4119220686,0.12191666486,0.031625,0.246,0.04977500478,0.1216142857,0.8525714478,0.2957733828
26.0,0.8532964198,0.11105637313,1.0,0.6547842791,0.4153190773,0.12288888702,0.026375,0.238,0.05117500469,0.130407143,0.8515714459,0.297335135
27.0,0.8579981895,0.11185200819,1.0,0.6566167432,0.4140290261,0.11999999816,0.025,0.242,0.05337500451,0.1295071432,0.8591428744,0.2986992295
28.0,0.8636316323,0.11124910062,1.0,0.6582935823,0.4151469652,0.12030555386,0.025,0.245,0.05187500415,0.1284821433,0.8605714428,0.2997108565
29.0,0.8655720364,0.11319478734,1.0,0.6595889449,0.4176868322,0.12169444282,0.025,0.241,0.04966667104,0.1304523814,0.8580000132,0.30025505
30.0,0.8661701225,0.11410378892,1.0,0.6600913091,0.4186956931,0.12211110942,0.025,0.243,0.05033333776,0.1308880956,0.8591428708,0.3006263127
31.0,0.8707451825,0.11222564632,1.0,0.6609902855,0.4182804109,0.12174999822,0.025,0.243,0.05133333784,0.1294416669,0.8608571572,0.3007010625
32.0,0.874773218,0.1105887504,1.0,0.6617873331,0.4174941433,0.12080555382,0.025,0.242,0.05308333798,0.1269535716,0.8638571584,0.3008169939
33.0,0.8788085121,0.1078138663,1.0,0.6622074711,0.4164808547,0.11994444272,0.025,0.241,0.05566667152,0.1262726192,0.8682857316,0.3010249783
34.0,0.8805044518,0.10845795092,1.0,0.6629874806,0.4159337895,0.11899999842,0.025,0.238,0.057500005,0.1262273812,0.87142859,0.3012155903
35.0,0.8837691155,0.10890954128,1.0,0.6642262338,0.4167909315,0.12008333176,0.025,0.244,0.057500005,0.1279940477,0.87142859,0.3014298731
36.0,0.8843695721,0.10919965616,1.0,0.6645230922,0.41686236,0.12044444286,0.025,0.244,0.057500005,0.1289940477,0.87142859,0.30144773
37.0,0.8844915234,0.1093941767,1.0,0.6646285847,0.41686236,0.12044444286,0.025,0.244,0.057500005,0.1289940477,0.87142859,0.30144773
38.0,0.8852474809,0.10917616574,1.0,0.6648079006,0.41686236,0.12044444286,0.025,0.244,0.057500005,0.1289940477,0.87142859,0.30144773
39.0,0.8862448921,0.10908120178,1.0,0.665108718,0.41686236,0.12044444286,0.025,0.244,0.057500005,0.1289940477,0.87142859,0.30144773
40.0,0.8912080557,0.1062161169,1.0,0.665808082,0.41686236,0.12044444286,0.025,0.244,0.057500005,0.1289940477,0.87142859,0.30144773
41.0,0.8962537979,0.1031815659,1.0,0.6664784838,0.41686236,0.12044444286,0.025,0.244,0.057500005,0.1289940477,0.87142859,0.30144773
42.0,0.8984504022,0.10154960876,1.0,0.6666667,0.41686236,0.12044444286,0.025,0.244,0.057500005,0.1289940477,0.87142859,0.30144773
43.0,0.8984318052,0.10156820564,1.0,0.6666667,0.41686236,0.12044444286,0.025,0.244,0.057500005,0.1289940477,0.87142859,0.30144773
44.0,0.8976498798,0.1023501308,1.0,0.6666667,0.41686236,0.12044444286,0.025,0.244,0.057500005,0.1289940477,0.87142859,0.30144773
45.0,0.8973277674,0.1026722432,1.0,0.6666667,0.41686236,0.12044444286,0.025,0.244,0.057500005,0.1289940477,0.87142859,0.30144773
46.0,0.8968268152,0.10317319528,1.0,0.6666667,0.41686236,0.12044444286,0.025,0.244,0.057500005,0.1289940477,0.87142859,0.30144773
47.0,0.8964304326,0.10356957752,1.0,0.6666667,0.41686236,0.12044444286,0.025,0.244,0.057500005,0.1289940477,0.87142859,0.30144773
48.0,0.8978338882,0.10216612204,1.0,0.6666667,0.41686236,0.12044444286,0.025,0.244,0.057500005,0.1289940477,0.87142859,0.30144773
49.0,0.8978989964,0.10210101384,1.0,0.6666667,0.41686236,0.12044444286,0.025,0.244,0.057500005,0.1289940477,0.87142859,0.30144773
50.0,0.897595862,0.10240414836,1.0,0.6666667,0.41686236,0.12044444286,0.025,0.244,0.057500005,0.1289940477,0.87142859,0.30144773
